PUBLIC  ROAD  LENGTH - 2018,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"August 30, 2019                                   ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama, 571 , -," 2,029 "," 3,985 "," 12,256 "," 6,141 "," 46,942 "," 71,923 ", 433 , 29 ," 1,300 "," 2,374 "," 3,622 ", 187 ," 21,094 "," 29,039 "," 100,962 ",
Alaska," 1,002 ", -, 799 , 431 ," 1,371 "," 1,431 "," 8,702 "," 13,735 ", 79 , -, 140 , 201 , 252 , 236 ," 2,408 "," 3,315 "," 17,050 ",
Arizona, 916 , 18 ," 1,211 "," 1,281 "," 4,208 "," 1,890 "," 30,876 "," 40,400 ", 253 , 215 , 849 ," 2,631 "," 1,932 ", 221 ," 20,281 "," 26,381 "," 66,782 ",
Arkansas, 439 , 72 ," 1,877 "," 3,067 "," 11,813 "," 6,748 "," 61,352 "," 85,367 ", 310 , 102 , 630 ," 1,830 "," 2,169 ", 240 ," 11,973 "," 17,255 "," 102,622 ",
California," 1,186 ", 369 ," 3,264 "," 6,140 "," 12,032 "," 7,487 "," 40,797 "," 71,275 "," 1,270 "," 1,550 "," 6,696 "," 10,960 "," 12,613 ", 368 ," 70,858 "," 104,315 "," 175,589 ",
Colorado, 648 , 28 ," 2,569 "," 3,464 "," 5,450 "," 8,839 "," 47,162 "," 68,160 ", 304 , 324 ," 1,069 "," 1,804 "," 1,856 ", 66 ," 15,392 "," 20,815 "," 88,975 ",
Connecticut, 29 , 36 , 122 , 218 , 857 , 419 ," 4,011 "," 5,691 ", 318 , 244 , 712 ," 1,672 "," 1,818 ", 314 ," 10,788 "," 15,865 "," 21,556 ",
Delaware, -, 18 , 100 , 90 , 390 , 259 ," 1,979 "," 2,835 ", 41 , 39 , 215 , 223 , 415 , 71 ," 2,624 "," 3,626 "," 6,461 ",
District of Columbia, -, -, -, -, -, -, -, -, 12 , 15 , 107 , 164 , 156 , -," 1,061 "," 1,514 "," 1,514 ",
Florida, 717 , 176 ," 2,617 "," 2,192 "," 4,023 "," 3,205 "," 23,650 "," 36,580 ", 778 , 574 ," 3,959 "," 4,224 "," 6,457 "," 1,869 "," 68,658 "," 86,519 "," 123,099 ",
