PUBLIC  ROAD  LENGTH - 2018,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"August 30, 2019                                   ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
Georgia, 537 , -," 2,452 "," 4,711 "," 11,562 "," 6,713 "," 50,173 "," 76,149 ", 710 , 177 ," 2,390 "," 4,805 "," 3,735 ", 721 ," 39,710 "," 52,248 "," 128,397 ",
Hawaii, -, -, 78 , 255 , 214 , 77 ," 1,021 "," 1,645 ", 55 , 34 , 269 , 192 , 263 , 190 ," 1,829 "," 2,831 "," 4,475 ",
Idaho, 523 , 112 ," 1,662 "," 1,466 "," 5,930 "," 4,004 "," 36,263 "," 49,959 ", 93 , 29 , 412 , 669 , 765 , 11 ," 4,409 "," 6,388 "," 56,347 ",
Illinois," 1,243 ", 48 ," 2,360 "," 4,728 "," 11,673 "," 4,708 "," 71,458 "," 96,219 ", 942 , 118 ," 2,888 "," 4,191 "," 4,861 "," 1,505 "," 35,252 "," 49,756 "," 145,976 ",
Indiana, 784 , 146 ," 1,965 "," 2,082 "," 9,915 "," 8,642 "," 43,100 "," 66,636 ", 503 , 168 ," 1,775 "," 3,119 "," 3,425 ", 845 ," 20,491 "," 30,326 "," 96,962 ",
Iowa, 611 , -," 3,418 "," 3,909 "," 14,267 "," 15,990 "," 63,823 "," 102,018 ", 178 , -, 916 ," 1,668 "," 1,332 ", 0 ," 8,633 "," 12,727 "," 114,745 ",
Kansas, 639 , 404 ," 2,627 "," 4,248 "," 22,453 "," 9,413 "," 88,030 "," 127,815 ", 234 , 191 , 311 ," 1,372 "," 1,762 ", 448 ," 10,067 "," 14,385 "," 142,200 ",
Kentucky, 711 , 398 ," 1,219 "," 2,346 "," 5,848 "," 9,339 "," 45,166 "," 65,027 ", 232 , 64 , 647 ," 1,357 "," 1,388 ", 404 ," 11,061 "," 15,153 "," 80,180 ",
Louisiana, 532 , 24 ," 1,000 "," 1,925 "," 4,720 "," 3,263 "," 32,336 "," 43,801 ", 410 , 72 ," 1,074 "," 1,954 "," 2,154 ", 215 ," 11,736 "," 17,615 "," 61,416 ",
Maine, 279 , 1 , 794 , 941 ," 3,271 "," 2,108 "," 12,204 "," 19,599 ", 87 , 17 , 129 , 247 , 509 , 71 ," 2,156 "," 3,216 "," 22,815 ",
Maryland, 142 , 69 , 321 , 707 ," 1,295 "," 1,703 "," 9,322 "," 13,561 ", 338 , 308 ," 1,024 "," 1,581 "," 1,857 ", 543 ," 13,056 "," 18,708 "," 32,269 ",
Massachusetts, 64 , 10 , 105 , 315 , 867 , 617 ," 4,212 "," 6,190 ", 508 , 323 ," 1,976 "," 4,037 "," 3,073 ", -," 20,657 "," 30,573 "," 36,763 ",
Michigan, 562 , 343 ," 2,130 "," 4,887 "," 16,371 "," 4,240 "," 55,635 "," 84,169 ", 676 , 354 ," 2,363 "," 4,943 "," 3,920 ", 126 ," 25,614 "," 37,996 "," 122,164 ",
Minnesota, 588 , 34 ," 3,454 "," 6,670 "," 15,636 "," 12,022 "," 78,862 "," 117,266 ", 325 , 221 , 617 ," 2,567 "," 2,209 ", 801 ," 15,585 "," 22,325 "," 139,591 ",
Mississippi, 578 , -," 1,783 "," 3,754 "," 11,948 "," 2,312 "," 44,037 "," 64,413 ", 253 , 64 , 949 ," 1,091 "," 1,579 ", 10 ," 9,118 "," 13,064 "," 77,477 ",
Missouri, 842 ," 1,125 "," 1,880 "," 4,016 "," 16,240 "," 6,269 "," 77,227 "," 107,598 ", 538 , 494 , 869 ," 2,156 "," 2,317 ", 385 ," 17,737 "," 24,496 "," 132,094 ",
Montana," 1,094 ", -," 2,773 "," 2,851 "," 6,869 "," 8,832 "," 46,901 "," 69,322 ", 98 , -, 257 , 292 , 403 , 54 ," 3,147 "," 4,251 "," 73,573 ",
Nebraska, 415 , 332 ," 2,339 "," 4,180 "," 11,370 "," 8,763 "," 59,841 "," 87,239 ", 69 , 130 , 326 , 867 , 648 , 70 ," 5,913 "," 8,023 "," 95,262 ",
Nevada, 457 , -," 1,519 ", 726 ," 2,259 "," 2,557 "," 30,653 "," 38,170 ", 163 , 53 , 377 , 893 , 49 ," 1,197 "," 7,555 "," 10,288 "," 48,458 ",
New Hampshire, 142 , 9 , 323 , 625 ," 1,042 "," 1,065 "," 7,900 "," 11,105 ", 83 , 74 , 223 , 491 , 541 , -," 3,653 "," 5,065 "," 16,171 ",
New Jersey, 45 , 35 , 160 , 307 , 775 , 338 ," 3,787 "," 5,447 ", 387 , 453 ," 1,799 "," 3,630 "," 2,923 ", 401 ," 23,880 "," 33,473 "," 38,919 ",
New Mexico, 843 , -," 1,917 "," 2,294 "," 4,519 "," 3,072 "," 53,783 "," 66,428 ", 156 , 12 , 701 , 737 , 851 , 305 ," 8,415 "," 11,177 "," 77,605 ",
New York, 804 , 181 ," 2,106 "," 2,840 "," 5,638 "," 9,293 "," 43,026 "," 63,886 ", 939 , 816 ," 3,161 "," 5,487 "," 5,525 ", 264 ," 33,455 "," 49,646 "," 113,533 ",
North Carolina, 561 , 420 ," 1,572 "," 3,086 "," 7,491 "," 6,027 "," 46,715 "," 65,872 ", 745 , 473 ," 1,995 "," 3,450 "," 3,366 ", 463 ," 30,985 "," 41,477 "," 107,348 ",
North Dakota, 510 , -," 2,943 "," 2,526 "," 11,986 ", -," 67,188 "," 85,152 ", 61 , -, 208 , 315 , 331 , -," 1,983 "," 2,898 "," 88,050 ",
Ohio, 643 , 334 ," 1,528 "," 2,655 "," 11,034 "," 6,303 "," 53,023 "," 75,519 ", 931 , 580 ," 2,446 "," 3,971 "," 5,375 ", 604 ," 33,587 "," 47,495 "," 123,014 ",
Oklahoma, 646 , 2 ," 2,247 "," 2,674 "," 21,039 "," 3,006 "," 67,627 "," 97,243 ", 286 , 205 ," 1,175 "," 2,264 "," 1,548 ", 137 ," 13,208 "," 18,822 "," 116,065 ",
Oregon, 495 , -," 2,657 "," 2,224 "," 8,173 "," 7,952 "," 42,553 "," 64,055 ", 234 , 64 , 855 ," 1,289 "," 2,124 ", 505 ," 10,140 "," 15,211 "," 79,266 ",
Pennsylvania," 1,074 ", 350 ," 1,517 "," 4,449 "," 7,224 "," 6,946 "," 50,760 "," 72,320 ", 788 , 568 ," 2,860 "," 4,084 "," 5,848 ", 11 ," 34,111 "," 48,270 "," 120,590 ",
Rhode Island, 18 , 11 , 97 , 72 , 172 , 152 , 838 ," 1,359 ", 52 , 81 , 342 , 340 , 542 , 32 ," 3,264 "," 4,654 "," 6,013 ",
South Carolina, 546 , 45 ," 1,546 "," 2,985 "," 10,020 "," 2,031 "," 37,956 "," 55,129 ", 304 , 84 ," 1,064 "," 1,776 "," 2,811 ", 77 ," 16,747 "," 22,863 "," 77,992 ",
South Dakota, 591 , 291 ," 2,592 "," 2,962 "," 12,417 "," 6,244 "," 53,991 "," 79,089 ", 88 , 18 , 137 , 435 , 350 , -," 2,385 "," 3,413 "," 82,501 ",
Tennessee, 644 , 14 ," 1,784 "," 2,946 "," 4,999 "," 9,668 "," 44,242 "," 64,298 ", 557 , 173 ," 1,903 "," 2,592 "," 2,552 "," 1,004 "," 23,037 "," 31,818 "," 96,116 ",
Texas," 2,001 ", 128 ," 8,412 "," 10,539 "," 35,142 "," 14,840 "," 134,607 "," 205,668 "," 1,459 "," 1,395 "," 6,174 "," 7,998 "," 15,777 "," 1,124 "," 75,052 "," 108,979 "," 314,648 ",
Utah, 684 , 9 ," 1,162 "," 1,315 "," 3,246 "," 3,480 "," 27,647 "," 37,543 ", 253 , 49 , 659 , 678 ," 1,111 ", 550 ," 8,070 "," 11,370 "," 48,913 ",
Vermont, 256 , 2 , 330 , 735 ," 1,972 ", 903 ," 8,554 "," 12,751 ", 64 , 16 , 127 , 148 , 247 , 32 , 868 ," 1,502 "," 14,253 ",
Virginia, 598 , 92 ," 1,633 "," 3,595 "," 7,442 "," 4,924 "," 30,471 "," 48,754 ", 521 , 352 ," 1,355 "," 2,274 "," 2,543 ", 780 ," 18,789 "," 26,614 "," 75,369 ",
Washington, 429 , 612 ," 1,313 "," 2,024 "," 8,089 "," 6,266 "," 37,661 "," 56,394 ", 335 , 421 ," 1,442 "," 2,743 "," 2,759 ", 214 ," 16,343 "," 24,258 "," 80,653 ",
West Virginia, 319 , 0 ," 1,016 "," 1,347 "," 5,525 "," 2,154 "," 21,829 "," 32,191 ", 235 , 14 , 400 , 721 , 901 , 61 ," 4,327 "," 6,659 "," 38,850 ",
Wisconsin, 512 , 203 ," 2,871 "," 4,743 "," 12,082 "," 8,469 "," 62,820 "," 91,701 ", 366 , 342 ," 1,948 "," 2,701 "," 2,994 ", -," 15,556 "," 23,907 "," 115,609 ",
Wyoming, 807 , -," 1,967 "," 1,221 "," 2,724 "," 8,669 "," 11,426 "," 26,814 ", 106 , 3 , 236 , 257 , 527 , 119 ," 1,603 "," 2,851 "," 29,666 ",
U.S. Total," 29,280 "," 6,504 "," 90,161 "," 133,746 "," 407,859 "," 259,789 "," 2,024,142 "," 2,951,481 "," 19,160 "," 12,100 "," 66,453 "," 112,468 "," 129,085 "," 17,852 "," 868,317 "," 1,225,434 "," 4,176,915 ",
Puerto Rico, 44 , -, 47 , 226 , 242 , 242 ," 2,390 "," 3,191 ", 257 , 56 , 395 , 941 ," 1,203 ", -," 12,315 "," 15,168 "," 18,359 ",
Grand Total," 29,324 "," 6,504 "," 90,207 "," 133,972 "," 408,102 "," 260,031 "," 2,026,532 "," 2,954,672 "," 19,417 "," 12,156 "," 66,848 "," 113,408 "," 130,288 "," 17,852 "," 880,633 "," 1,240,601 "," 4,195,274 ",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
