FUNCTIONAL  SYSTEM  TRAVEL - 2016 (1),,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,
,RURAL,,,,,,,,URBAN,,,,,,,,,
Georgia," 7,710 ", -," 6,181 "," 5,678 "," 5,142 "," 1,158 "," 4,174 "," 30,044 "," 24,351 "," 3,581 "," 16,906 "," 17,827 "," 6,145 ", 470 ," 23,478 "," 92,758 "," 122,802 ",
Hawaii, -, -, 329 , 557 , 163 , 45 , 724 ," 1,819 "," 2,059 ", 488 ," 2,073 "," 1,011 ", 727 , 277 ," 2,181 "," 8,817 "," 10,635 ",
Idaho," 2,604 ", 378 ," 2,043 ", 997 ," 1,286 ", 224 ," 2,375 "," 9,907 "," 1,619 ", 187 ," 2,166 "," 1,663 ", 684 , 5 , 968 ," 7,292 "," 17,199 ",
Illinois," 8,951 ", 173 ," 3,950 "," 4,579 "," 4,066 ", 552 ," 3,273 "," 25,544 "," 24,853 "," 1,200 "," 19,812 "," 15,506 "," 8,128 ", 771 ," 11,501 "," 81,770 "," 107,314 ",
Indiana," 7,694 ", 692 ," 4,228 "," 3,552 "," 5,495 "," 5,898 "," 4,947 "," 32,506 "," 11,428 "," 1,316 "," 10,179 "," 9,029 "," 4,575 ", 973 ," 13,175 "," 50,677 "," 83,183 ",
Iowa," 5,021 ", -," 6,176 "," 2,672 "," 3,467 ", 838 ," 1,451 "," 19,625 "," 3,137 ", -," 4,146 "," 3,454 "," 1,129 ", 0 ," 1,846 "," 13,712 "," 33,337 ",
Kansas," 3,664 "," 1,308 "," 3,193 "," 2,316 "," 2,640 ", 332 ," 1,764 "," 15,217 "," 4,158 "," 1,955 "," 1,329 "," 4,539 "," 2,219 ", 225 ," 2,461 "," 16,886 "," 32,103 ",
Kentucky," 8,039 "," 1,862 "," 3,470 "," 3,606 "," 4,047 "," 2,203 "," 3,126 "," 26,354 "," 6,652 ", 885 ," 4,790 "," 5,446 "," 2,282 ", 440 ," 2,464 "," 22,959 "," 49,313 ",
Louisiana," 5,931 ", 208 ," 2,904 "," 3,260 "," 3,323 "," 1,109 "," 2,204 "," 18,939 "," 9,739 ", 784 ," 8,329 "," 6,547 "," 2,969 ", 222 ," 1,625 "," 30,216 "," 49,156 ",
Maine," 2,056 ", -," 1,814 "," 1,676 "," 2,218 ", 817 ," 1,439 "," 10,020 "," 1,228 ", 144 , 779 ," 1,080 "," 1,011 ", 90 , 487 ," 4,818 "," 14,838 ",
Maryland," 2,128 ", 509 ," 2,015 "," 1,738 "," 1,578 ", 952 ," 1,751 "," 10,671 "," 15,456 "," 6,732 "," 10,627 "," 7,607 "," 4,229 ", 602 ," 3,214 "," 48,467 "," 59,137 ",
Massachusetts," 1,029 ", 188 , 484 , 593 , 514 , 124 , 560 ," 3,492 "," 16,772 "," 6,490 "," 11,731 "," 11,356 "," 3,774 ", 41 ," 8,169 "," 58,333 "," 61,825 ",
Michigan," 5,268 "," 2,492 "," 4,168 "," 6,773 "," 8,018 ", 897 ," 2,297 "," 29,913 "," 17,640 "," 6,347 "," 17,656 "," 15,543 "," 5,002 ", 99 ," 7,234 "," 69,520 "," 99,433 ",
Minnesota," 3,904 ", 231 ," 6,830 "," 4,940 "," 4,116 "," 1,289 "," 2,768 "," 24,077 "," 9,086 "," 4,370 "," 4,365 "," 9,240 "," 2,876 ", 445 ," 4,570 "," 34,952 "," 59,029 ",
Mississippi," 4,466 ", -," 5,148 "," 3,536 "," 4,082 ", 420 ," 5,223 "," 22,874 "," 4,203 ", 482 ," 5,174 "," 2,603 "," 1,753 ", 5 ," 3,661 "," 17,881 "," 40,755 ",
Missouri," 7,026 "," 4,435 "," 3,641 "," 3,513 "," 5,173 ", 707 ," 5,875 "," 30,370 "," 14,268 "," 5,346 "," 5,802 "," 6,448 "," 3,341 ", 56 ," 8,387 "," 43,648 "," 74,019 ",
Montana," 2,566 ", -," 2,547 "," 1,088 ", 872 , 449 ," 1,184 "," 8,706 ", 625 , -," 1,246 ", 646 , 417 , 29 , 930 ," 3,893 "," 12,599 ",
Nebraska," 2,956 ", 991 ," 2,310 "," 2,341 "," 1,421 ", 236 ," 1,097 "," 11,353 "," 1,563 "," 1,172 "," 2,014 "," 2,359 ", 620 , 37 ," 1,582 "," 9,347 "," 20,700 ",
Nevada," 2,245 ", -," 1,571 ", 393 , 350 , 235 , 439 ," 5,233 "," 4,307 "," 1,726 "," 3,199 "," 4,831 ", 47 ," 2,008 "," 5,437 "," 21,555 "," 26,788 ",
New Hampshire," 1,091 ", 147 ," 1,048 "," 1,149 "," 1,048 ", 500 , 375 ," 5,358 "," 1,958 "," 1,378 "," 1,347 "," 1,737 ", 919 , -, 815 ," 8,155 "," 13,513 ",
New Jersey," 1,229 ", 494 , 707 , 664 , 834 , 155 , 864 ," 4,948 "," 15,090 "," 13,293 "," 16,377 "," 11,120 "," 4,482 ", 715 ," 11,068 "," 72,144 "," 77,093 ",
New Mexico," 4,503 ", -," 3,439 "," 1,789 "," 1,699 ", 613 ," 3,973 "," 16,015 "," 2,654 ", 104 ," 4,033 "," 1,945 "," 1,111 ", 322 ," 1,701 "," 11,870 "," 27,886 ",
New York," 5,890 ", 798 ," 3,740 "," 3,405 "," 3,771 "," 2,585 "," 4,804 "," 24,994 "," 20,743 "," 16,893 "," 19,317 "," 17,764 "," 7,372 ", 169 ," 15,085 "," 97,343 "," 122,337 ",
North Carolina," 6,011 "," 2,597 "," 5,928 "," 6,003 "," 7,162 "," 2,956 "," 8,636 "," 39,294 "," 19,239 "," 5,882 "," 15,570 "," 13,982 "," 7,093 ", 617 ," 15,072 "," 77,455 "," 116,749 ",
North Dakota," 1,594 ", -," 2,213 ", 827 ," 1,082 ", -," 1,137 "," 6,853 ", 519 , -, 916 , 639 , 294 , -, 518 ," 2,886 "," 9,739 ",
Ohio," 8,762 "," 1,875 "," 4,435 "," 4,255 "," 7,906 "," 1,754 "," 5,853 "," 34,840 "," 24,871 "," 6,349 "," 13,851 "," 14,658 "," 10,189 ", 469 ," 13,381 "," 83,768 "," 118,608 ",
Oklahoma," 5,383 ", -," 5,228 "," 2,968 "," 5,503 ", 173 ," 2,582 "," 21,837 "," 5,701 "," 3,212 "," 5,850 "," 5,059 "," 1,528 ", 70 ," 5,756 "," 27,176 "," 49,013 ",
Oregon," 3,921 ", -," 4,200 "," 1,814 "," 1,834 ", 768 ," 2,034 "," 14,572 "," 5,653 "," 1,435 "," 5,628 "," 4,367 "," 2,695 ", 268 ," 2,102 "," 22,147 "," 36,719 ",
Pennsylvania," 10,376 "," 2,047 "," 4,098 "," 6,416 "," 4,112 "," 1,821 "," 5,498 "," 34,368 "," 15,644 "," 7,108 "," 16,359 "," 12,145 "," 7,764 ", -," 7,974 "," 66,994 "," 101,362 ",
Rhode Island, 311 , 66 , 227 , 108 , 148 , 25 , 22 , 905 ," 1,895 "," 1,225 "," 1,858 "," 1,051 ", 591 , 17 , 385 ," 7,022 "," 7,927 ",
South Carolina," 8,179 ", 265 ," 4,338 "," 4,183 "," 4,633 ", 254 ," 2,981 "," 24,832 "," 7,673 ", 774 ," 8,209 "," 6,929 "," 3,937 ", 36 ," 2,163 "," 29,721 "," 54,553 ",
South Dakota," 2,015 ", 427 ," 1,523 "," 1,005 "," 1,062 ", 148 , 459 ," 6,641 ", 736 , 67 , 493 ," 1,004 ", 287 , -, 279 ," 2,866 "," 9,507 ",
Tennessee," 8,142 ", 136 ," 4,590 "," 4,277 "," 2,687 "," 2,164 "," 2,549 "," 24,546 "," 14,747 "," 2,402 "," 12,964 "," 8,701 "," 3,763 ", 761 ," 8,999 "," 52,338 "," 76,884 ",
Texas," 18,142 ", 10 ," 22,781 "," 11,418 "," 12,438 "," 1,810 "," 4,547 "," 71,146 "," 50,831 "," 33,980 "," 42,676 "," 32,293 "," 27,713 ", 671 ," 11,953 "," 200,117 "," 271,263 ",
Utah," 3,267 ", 81 ," 1,831 ", 810 , 950 , 196 ," 1,174 "," 8,310 "," 7,982 ", 425 ," 5,469 "," 2,586 "," 1,838 ", 253 ," 4,586 "," 23,139 "," 31,449 ",
Vermont," 1,235 ", 5 , 721 , 993 ," 1,145 ", 202 , 950 ," 5,251 ", 566 , 59 , 501 , 364 , 293 , 12 , 336 ," 2,131 "," 7,382 ",
Virginia," 9,302 ", 608 ," 6,328 "," 5,079 "," 3,731 "," 1,016 "," 2,643 "," 28,708 "," 16,988 "," 5,323 "," 12,763 "," 10,440 "," 4,501 ", 572 ," 5,167 "," 55,755 "," 84,463 ",
Washington," 4,781 "," 1,832 "," 2,372 "," 2,187 "," 3,547 "," 1,076 "," 1,189 "," 16,983 "," 12,104 "," 5,893 "," 9,814 "," 7,765 "," 3,491 ", 125 ," 4,844 "," 44,035 "," 61,018 ",
West Virginia," 2,338 ", -," 2,290 "," 1,498 "," 2,451 ", 387 ," 1,018 "," 9,983 "," 3,470 ", 76 ," 2,301 "," 2,006 ", 928 , 30 , 747 ," 9,557 "," 19,539 ",
Wisconsin," 6,012 "," 1,196 "," 6,612 "," 4,978 "," 7,874 "," 2,052 "," 3,540 "," 32,265 "," 7,936 "," 3,327 "," 9,194 "," 5,616 "," 2,765 ", -," 2,944 "," 31,782 "," 64,046 ",
Wyoming," 2,472 ", -," 1,554 ", 501 , 668 , 687 , 566 ," 6,448 ", 488 , 12 , 766 , 495 , 405 , 55 , 653 ," 2,874 "," 9,323 ",
U.S. Total," 246,716 "," 34,434 "," 189,911 "," 143,260 "," 159,916 "," 47,699 "," 127,637 "," 949,573 "," 558,388 "," 249,423 "," 479,705 "," 408,720 "," 205,720 "," 16,487 "," 305,799 "," 2,224,242 "," 3,173,815 ",
Puerto Rico (2), 435 , -, 180 , 265 , 149 , 0 , 0 ," 1,029 "," 4,724 ", 902 ," 3,218 "," 3,054 "," 1,634 ", 0 , 3 ," 13,535 "," 14,564 ",
Grand Total," 247,152 "," 34,434 "," 190,090 "," 143,525 "," 160,066 "," 47,699 "," 127,637 "," 950,602 "," 563,112 "," 250,325 "," 482,923 "," 411,774 "," 207,354 "," 16,487 "," 305,802 "," 2,237,777 "," 3,188,379 ",
(1)  Travel for the rural minor collector and rural/urban local functional systems is estimated by the States based on a model or other means and provided,,,,,,,,,(2) 2014 data.,,,,,,,,,
to the FHWA on a summary basis.  Travel for all other systems are estimated from State-provided data in the Highway Performance Monitoring System.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
