FUNCTIONAL  SYSTEM  TRAVEL - 2016 (1),,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Alabama," 6,333 ", -," 5,489 "," 4,527 "," 4,394 "," 1,357 "," 7,036 "," 29,135 "," 8,988 ", 551 ," 9,853 "," 7,271 "," 4,255 ", 64 ," 9,109 "," 40,092 "," 69,227 ",
Alaska, 896 , -, 326 , 128 , 307 , 148 , 434 ," 2,238 ", 768 , -, 971 , 547 , 244 , 115 , 375 ," 3,020 "," 5,259 ",
Arizona," 6,550 ", 30 ," 3,348 "," 1,446 "," 2,485 ", 459 ," 1,390 "," 15,708 "," 7,572 "," 7,821 "," 8,226 "," 15,582 "," 4,199 ", 147 ," 6,531 "," 50,078 "," 65,786 ",
Arkansas," 3,995 ", 275 ," 3,710 "," 2,859 "," 3,528 ", 666 ," 2,193 "," 17,227 "," 5,400 ", 965 ," 3,746 "," 4,551 "," 1,841 ", 71 ," 1,954 "," 18,528 "," 35,755 ",
California," 15,316 "," 4,889 "," 10,163 "," 7,736 "," 8,008 "," 2,524 "," 4,360 "," 52,995 "," 74,066 "," 62,237 "," 57,101 "," 49,120 "," 23,679 ", 313 ," 20,605 "," 287,120 "," 340,115 ",
Colorado," 4,683 ", 248 ," 4,202 "," 2,057 "," 1,796 ", 764 ," 1,528 "," 15,277 "," 9,375 "," 5,406 "," 9,297 "," 6,342 "," 2,722 ", 46 ," 3,687 "," 36,874 "," 52,152 ",
Connecticut, 470 , 296 , 443 , 409 , 813 , 148 , 583 ," 3,161 "," 9,886 "," 4,179 "," 3,842 "," 5,169 "," 2,617 ", 240 ," 2,545 "," 28,478 "," 31,639 ",
Delaware, -, 601 , 861 , 317 , 603 , 174 , 444 ," 3,000 "," 1,432 ", 646 ," 2,168 "," 1,098 ", 813 , 56 , 965 ," 7,178 "," 10,178 ",
District of Columbia, -, -, -, -, -, -, -, -, 474 , 382 ," 1,020 ", 701 , 272 , -, 772 ," 3,622 "," 3,622 ",
Florida," 10,256 "," 2,040 "," 8,165 "," 3,648 "," 3,729 "," 1,634 "," 5,600 "," 35,072 "," 29,799 "," 14,814 "," 44,898 "," 28,937 "," 19,190 "," 3,482 "," 39,357 "," 180,478 "," 215,551 ",
