PUBLIC  ROAD  LENGTH - 2019,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"September 30, 2020                                ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Montana," 1,094 ", -," 2,774 "," 2,851 "," 6,869 "," 8,816 "," 46,968 "," 69,373 ", 98 , -, 257 , 292 , 403 , 54 ," 3,170 "," 4,274 "," 73,647 ",
Nebraska, 415 , 332 ," 2,339 "," 4,180 "," 11,367 "," 8,762 "," 59,861 "," 87,255 ", 69 , 130 , 326 , 867 , 652 , 70 ," 5,922 "," 8,036 "," 95,290 ",
Nevada, 457 , -," 1,519 ", 726 ," 2,259 "," 2,495 "," 29,880 "," 37,336 ", 163 , 55 , 379 , 893 , 49 ," 1,197 "," 7,658 "," 10,395 "," 47,731 ",
New Hampshire, 142 , 9 , 323 , 625 ," 1,041 "," 1,065 "," 7,905 "," 11,111 ", 83 , 74 , 223 , 491 , 541 , -," 3,662 "," 5,074 "," 16,185 ",
New Jersey, 45 , 35 , 160 , 307 , 775 , 338 ," 3,787 "," 5,447 ", 387 , 453 ," 1,799 "," 3,631 "," 2,923 ", 402 ," 23,910 "," 33,503 "," 38,950 ",
New Mexico, 843 , -," 1,916 "," 2,270 "," 4,514 "," 3,119 "," 47,875 "," 60,538 ", 156 , 12 , 702 , 743 , 857 , 309 ," 8,511 "," 11,289 "," 71,827 ",
New York, 804 , 182 ," 2,105 "," 2,841 "," 5,640 "," 9,294 "," 43,279 "," 64,144 ", 933 , 811 ," 3,164 "," 5,489 "," 5,522 ", 262 ," 33,604 "," 49,784 "," 113,929 ",
North Carolina, 564 , 415 ," 1,579 "," 3,085 "," 7,493 "," 6,027 "," 46,757 "," 65,919 ", 787 , 452 ," 2,002 "," 3,446 "," 3,366 ", 466 ," 31,190 "," 41,709 "," 107,628 ",
North Dakota, 510 , -," 2,945 "," 2,526 "," 12,003 ", -," 67,297 "," 85,280 ", 61 , -, 208 , 315 , 331 , -," 1,972 "," 2,888 "," 88,168 ",
Ohio, 643 , 334 ," 1,523 "," 2,664 "," 11,010 "," 6,302 "," 53,014 "," 75,489 ", 931 , 580 ," 2,445 "," 3,963 "," 5,373 ", 617 ," 33,632 "," 47,542 "," 123,031 ",
Oklahoma, 650 , 2 ," 2,249 "," 2,675 "," 21,041 "," 2,999 "," 66,106 "," 95,723 ", 287 , 193 ," 1,178 "," 2,266 "," 1,545 ", 137 ," 13,309 "," 18,915 "," 114,638 ",
Oregon, 495 , -," 2,644 "," 2,208 "," 8,174 "," 7,947 "," 42,378 "," 63,846 ", 234 , 62 , 851 ," 1,286 "," 2,125 ", 505 ," 10,136 "," 15,199 "," 79,045 ",
Pennsylvania," 1,066 ", 360 ," 1,580 "," 4,438 "," 7,163 "," 6,952 "," 50,794 "," 72,354 ", 797 , 557 ," 2,873 "," 4,069 "," 5,844 ", 20 ," 34,201 "," 48,360 "," 120,714 ",
Rhode Island, 18 , 11 , 97 , 72 , 172 , 152 , 843 ," 1,365 ", 52 , 65 , 343 , 340 , 542 , 35 ," 3,261 "," 4,639 "," 6,004 ",
South Carolina, 546 , 47 ," 1,546 "," 2,988 "," 10,014 "," 2,030 "," 37,622 "," 54,793 ", 304 , 85 ," 1,064 "," 1,775 "," 2,817 ", 76 ," 18,318 "," 24,440 "," 79,234 ",
South Dakota, 591 , 291 ," 2,593 "," 2,961 "," 12,416 "," 6,240 "," 53,577 "," 78,669 ", 88 , 18 , 136 , 447 , 342 , -," 2,269 "," 3,300 "," 81,969 ",
Tennessee, 645 , 14 ," 1,784 "," 2,947 "," 5,000 "," 9,647 "," 44,285 "," 64,322 ", 557 , 173 ," 1,907 "," 2,600 "," 2,553 "," 1,005 "," 23,052 "," 31,845 "," 96,167 ",
Texas," 2,001 ", 128 ," 8,382 "," 10,480 "," 35,109 "," 14,829 "," 134,819 "," 205,747 "," 1,458 "," 1,402 "," 6,244 "," 8,059 "," 15,863 "," 1,124 "," 75,548 "," 109,699 "," 315,445 ",
Utah, 685 , 9 ," 1,163 "," 1,321 "," 3,245 "," 3,477 "," 26,424 "," 36,324 ", 253 , 49 , 660 , 684 ," 1,117 ", 560 ," 8,961 "," 12,285 "," 48,608 ",
Vermont, 256 , 2 , 330 , 735 ," 1,972 ", 903 ," 8,554 "," 12,751 ", 64 , 16 , 127 , 148 , 247 , 32 , 869 ," 1,503 "," 14,254 ",
Virginia, 598 , 92 ," 1,634 "," 3,593 "," 7,441 "," 4,922 "," 30,302 "," 48,582 ", 521 , 359 ," 1,352 "," 2,277 "," 2,545 ", 779 ," 18,932 "," 26,766 "," 75,348 ",
Washington, 429 , 612 ," 1,313 "," 2,061 "," 8,085 "," 6,231 "," 37,609 "," 56,340 ", 335 , 422 ," 1,443 "," 2,762 "," 2,741 ", 220 ," 16,441 "," 24,364 "," 80,704 ",
West Virginia, 319 , 0 ," 1,020 "," 1,347 "," 5,526 "," 2,155 "," 21,833 "," 32,200 ", 235 , 14 , 406 , 721 , 900 , 61 ," 4,339 "," 6,677 "," 38,877 ",
Wisconsin, 513 , 203 ," 2,870 "," 4,765 "," 12,142 "," 8,356 "," 62,861 "," 91,711 ", 366 , 342 ," 1,951 "," 2,683 "," 2,989 ", -," 15,632 "," 23,963 "," 115,673 ",
Wyoming, 807 , -," 1,963 "," 1,222 "," 2,724 "," 8,697 "," 11,816 "," 27,230 ", 106 , 3 , 239 , 257 , 527 , 120 ," 1,610 "," 2,861 "," 30,091 ",
U.S. Total," 29,305 "," 6,580 "," 90,313 "," 134,602 "," 407,231 "," 256,504 "," 2,008,237 "," 2,932,771 "," 19,177 "," 12,050 "," 66,367 "," 112,230 "," 130,165 "," 21,218 "," 877,147 "," 1,238,354 "," 4,171,125 ",
Puerto Rico, 47 , -, 46 , 214 , 238 , 242 ," 2,404 "," 3,190 ", 257 , 56 , 399 , 942 ," 1,200 ", -," 12,315 "," 15,168 "," 18,359 ",
Grand Total," 29,351 "," 6,580 "," 90,359 "," 134,816 "," 407,469 "," 256,746 "," 2,010,641 "," 2,935,961 "," 19,433 "," 12,106 "," 66,766 "," 113,171 "," 131,365 "," 21,218 "," 889,463 "," 1,253,522 "," 4,189,483 ",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
