WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"OCTOBER 1, 2013",,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
North Carolina," 7,076 "," 2,154 "," 3,335 "," 4,231 "," 12,076 "," 7,607 "," 5,450 "," 7,281 "," 5,914 ",,,,,,,,,,,,,,,,,
North Dakota," 2,246 ", -," 1,015 "," 1,200 "," 5,185 ", -," 3,707 "," 4,027 "," 1,383 ",,,,,,,,,,,,,,,,,
Ohio," 7,641 ", -," 2,915 "," 4,182 "," 12,669 "," 7,303 "," 4,483 "," 6,698 "," 5,648 ",,,,,,,,,,,,,,,,,
Oklahoma," 5,090 ", -," 1,873 "," 2,603 "," 10,291 "," 8,211 "," 4,254 "," 5,763 "," 3,652 ",,,,,,,,,,,,,,,,,
Oregon," 4,812 ", -," 1,791 "," 2,290 "," 13,044 "," 13,981 "," 5,392 "," 7,245 "," 3,425 ",,,,,,,,,,,,,,,,,
Pennsylvania," 6,145 "," 3,929 "," 3,055 "," 4,285 "," 10,860 "," 7,935 "," 5,440 "," 6,741 "," 5,690 ",,,,,,,,,,,,,,,,,
Rhode Island," 13,014 ", -," 3,181 "," 6,224 "," 15,241 "," 9,212 "," 6,009 "," 7,470 "," 7,317 ",,,,,,,,,,,,,,,,,
South Carolina," 8,605 ", -," 2,449 "," 4,053 "," 11,772 "," 7,081 "," 5,193 "," 6,611 "," 5,023 ",,,,,,,,,,,,,,,,,
South Dakota," 2,270 ", -, 746 ," 1,007 "," 5,627 "," 2,297 "," 3,021 "," 3,956 "," 1,177 ",,,,,,,,,,,,,,,,,
Tennessee," 8,483 ", -," 2,436 "," 4,045 "," 13,729 "," 7,694 "," 5,030 "," 6,938 "," 5,349 ",,,,,,,,,,,,,,,,,
Texas," 5,192 ", -," 2,289 "," 2,903 "," 14,953 "," 10,478 "," 4,377 "," 6,970 "," 4,802 ",,,,,,,,,,,,,,,,,
Utah," 2,868 "," 5,087 "," 1,747 "," 2,184 "," 10,982 "," 11,604 "," 4,990 "," 6,617 "," 3,557 ",,,,,,,,,,,,,,,,,
Vermont," 3,050 "," 2,944 "," 2,857 "," 2,947 "," 6,559 "," 3,838 "," 4,823 "," 5,147 "," 3,413 ",,,,,,,,,,,,,,,,,
Virginia," 8,981 ", -," 3,213 "," 5,051 "," 14,738 "," 7,914 "," 6,287 "," 8,352 "," 6,711 ",,,,,,,,,,,,,,,,,
Washington," 5,698 "," 2,717 "," 2,248 "," 3,024 "," 14,517 "," 9,252 "," 5,311 "," 7,385 "," 4,999 ",,,,,,,,,,,,,,,,,
West Virginia," 5,111 ", -," 2,440 "," 3,124 "," 9,363 "," 4,732 "," 5,492 "," 6,823 "," 4,128 ",,,,,,,,,,,,,,,,,
Wisconsin," 6,946 "," 5,147 "," 2,440 "," 3,185 "," 12,142 "," 8,057 "," 4,181 "," 5,567 "," 4,162 ",,,,,,,,,,,,,,,,,
Wyoming," 2,026 ", -," 1,039 "," 1,326 "," 3,278 "," 2,643 "," 3,006 "," 3,087 "," 1,516 ",,,,,,,,,,,,,,,,,
U.S.," 5,178 "," 3,268 "," 2,170 "," 2,935 "," 13,136 "," 10,509 "," 5,351 "," 7,390 "," 4,831 ",,,,,,,,,,,,,,,,,
Puerto Rico  (1)," 8,955 ", -," 4,262 "," 5,981 "," 12,342 "," 10,980 "," 7,179 "," 9,289 "," 8,930 ",,,,,,,,,,,,,,,,,
All,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Footnotes, see Footnotes Page",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
