WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2018,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,
,,,,,,,,,,
"August 30, 2019                                   ",,,,,,,,,TABLE HM-62,
,RURAL,,,,URBAN,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,
Alabama," 7,384 ", -," 2,460 "," 3,541 "," 11,250 "," 10,366 "," 5,394 "," 6,915 "," 4,904 ",
Alaska, 982 , -, 507 , 771 , 771 ," 6,303 ", -," 5,567 "," 1,290 ",
Arizona," 4,937 "," 3,200 "," 2,810 "," 3,722 "," 3,722 "," 13,242 "," 14,380 "," 8,635 "," 5,590 ",
Arkansas," 6,671 "," 3,109 "," 2,014 "," 2,903 "," 2,903 "," 9,833 "," 6,143 "," 6,275 "," 3,927 ",
California," 7,820 "," 9,245 "," 3,319 "," 4,881 "," 4,881 "," 20,140 "," 17,308 "," 9,539 "," 7,973 ",
Colorado," 4,966 "," 6,265 "," 2,018 "," 2,644 "," 2,644 "," 16,160 "," 10,705 "," 8,953 "," 4,810 ",
Connecticut," 8,811 "," 5,880 "," 4,633 "," 5,515 "," 5,515 "," 15,418 "," 11,597 "," 9,174 "," 8,707 ",
Delaware, -," 11,594 "," 6,008 "," 6,847 "," 6,847 "," 16,171 "," 11,751 "," 9,450 "," 8,706 ",
District of Columbia, -, -, -, -, -," 20,336 "," 16,201 "," 9,360 "," 9,360 ",
Florida," 8,281 "," 8,899 "," 3,195 "," 4,520 "," 4,520 "," 16,234 "," 14,009 "," 9,101 "," 7,278 ",
Georgia," 8,106 ", -," 2,434 "," 3,454 "," 3,454 "," 13,783 "," 11,198 "," 7,677 "," 5,662 ",
Hawaii, -, -," 6,084 "," 6,084 "," 6,084 "," 15,540 "," 8,377 "," 8,482 "," 8,052 ",
Idaho," 3,624 "," 2,988 "," 1,522 "," 2,072 "," 2,072 "," 9,633 "," 5,336 "," 6,192 "," 2,849 ",
Illinois," 5,153 "," 2,397 "," 2,038 "," 3,103 "," 3,103 "," 13,191 "," 6,395 "," 7,207 "," 5,235 ",
Indiana," 6,741 "," 4,059 "," 2,908 "," 4,004 "," 4,004 "," 11,252 "," 5,782 "," 6,410 "," 5,105 ",
Iowa," 5,801 ", -," 1,808 "," 2,414 "," 2,414 "," 10,078 ", -," 4,618 "," 2,883 ",
Kansas," 3,964 "," 2,289 "," 1,605 "," 2,091 "," 2,091 "," 9,366 "," 7,017 "," 6,126 "," 2,765 ",
Kentucky," 6,704 "," 2,689 "," 2,823 "," 3,986 "," 3,986 "," 14,125 "," 8,582 "," 7,581 "," 5,023 ",
