WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2021  (1),,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,
,,,,,,,,,
"March 1, 2023",,,,,,,,,TABLE HM-62
,RURAL,,,,URBAN,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS
Utah," 3,877 "," 7,137 "," 2,169 "," 4,394 "," 12,294 "," 10,065 "," 5,984 "," 9,448 "," 6,921 "
Vermont," 2,739 "," 4,415 "," 2,932 "," 3,362 "," 4,980 "," 4,047 "," 4,613 "," 4,547 "," 3,954 "
Virginia," 10,085 "," 5,551 "," 3,093 "," 6,243 "," 14,109 "," 8,037 "," 5,969 "," 9,372 "," 7,807 "
Washington," 6,695 "," 3,135 "," 2,526 "," 4,118 "," 13,891 "," 9,262 "," 5,159 "," 9,437 "," 6,778 "
West Virginia," 3,958 ", 400 ," 1,863 "," 2,074 "," 7,594 "," 3,449 "," 3,984 "," 5,009 "," 3,541 "
Wisconsin," 7,301 "," 4,166 "," 2,407 "," 4,625 "," 11,440 "," 6,304 "," 4,199 "," 7,314 "," 5,969 "
Wyoming," 2,317 ",," 1,129 "," 1,149 "," 3,723 "," 2,773 "," 2,972 "," 3,156 "," 2,152 "
U.S.," 6,129 "," 4,644 "," 2,582 "," 3,880 "," 11,904 "," 9,064 "," 5,117 "," 8,381 "," 6,130 "
Puerto Rico," 8,226 "," 6,436 "," 4,546 "," 6,403 "," 10,349 "," 10,820 "," 6,003 "," 9,057 "," 7,730 "
All," 7,178 "," 5,540 "," 3,564 "," 5,141 "," 11,127 "," 9,942 "," 5,560 "," 8,719 "," 6,930 "
"  (1)  Please note that due to data review and production issues with the 2021 HPMS data, some anomalous and/or missing data may exist.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
