WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2016,,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
North Carolina," 6,971 "," 3,986 "," 3,222 "," 4,171 "," 4,171 "," 13,134 "," 7,717 "," 7,676 "," 6,126 ",,,,,,,,,,,,,,,,,
North Dakota," 2,031 ", -, 905 ," 1,071 "," 1,071 "," 4,886 ", -," 4,173 "," 1,277 ",,,,,,,,,,,,,,,,,
Ohio," 7,675 "," 3,532 "," 2,764 "," 4,132 "," 4,132 "," 11,957 "," 6,533 "," 6,701 "," 5,706 ",,,,,,,,,,,,,,,,,
Oklahoma," 5,400 ", -," 1,930 "," 2,703 "," 2,703 "," 10,281 "," 8,440 "," 5,446 "," 3,699 ",,,,,,,,,,,,,,,,,
Oregon," 4,961 ", -," 1,792 "," 2,290 "," 2,290 "," 12,686 "," 14,718 "," 7,406 "," 3,655 ",,,,,,,,,,,,,,,,,
Pennsylvania," 6,736 "," 3,945 "," 2,966 "," 4,464 "," 4,464 "," 11,790 "," 8,430 "," 6,965 "," 5,901 ",,,,,,,,,,,,,,,,,
Rhode Island," 11,714 "," 4,097 "," 2,917 "," 4,267 "," 4,267 "," 16,240 "," 9,866 "," 7,694 "," 6,977 ",,,,,,,,,,,,,,,,,
South Carolina," 9,492 "," 3,315 "," 2,370 "," 4,210 "," 4,210 "," 12,443 "," 5,570 "," 6,769 "," 5,245 ",,,,,,,,,,,,,,,,,
South Dakota," 2,253 ", 984 , 757 ," 1,031 "," 1,031 "," 5,627 "," 2,431 "," 3,809 "," 1,210 ",,,,,,,,,,,,,,,,,
Tennessee," 8,656 ", -," 2,375 "," 3,934 "," 3,934 "," 13,233 "," 8,475 "," 7,045 "," 5,547 ",,,,,,,,,,,,,,,,,
Texas," 5,664 "," 2,459 "," 2,300 "," 2,944 "," 2,944 "," 14,983 "," 11,593 "," 7,440 "," 5,027 ",,,,,,,,,,,,,,,,,
Utah," 2,994 "," 5,954 "," 1,747 "," 2,227 "," 2,227 "," 11,237 "," 5,709 "," 7,051 "," 3,856 ",,,,,,,,,,,,,,,,,
Vermont," 3,229 "," 3,702 "," 2,951 "," 3,079 "," 3,079 "," 6,018 "," 4,086 "," 5,184 "," 3,605 ",,,,,,,,,,,,,,,,,
Virginia," 9,017 "," 4,259 "," 2,930 "," 4,551 "," 4,551 "," 14,441 "," 9,087 "," 8,084 "," 6,665 ",,,,,,,,,,,,,,,,,
Washington," 6,256 "," 2,876 "," 2,318 "," 3,180 "," 3,180 "," 14,182 "," 9,359 "," 7,562 "," 5,293 ",,,,,,,,,,,,,,,,,
West Virginia," 4,775 "," 3,397 "," 2,297 "," 2,888 "," 2,888 "," 9,120 "," 4,602 "," 6,670 "," 4,171 ",,,,,,,,,,,,,,,,,
