WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2015,,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
North Carolina," 6,887 "," 3,724 "," 3,080 "," 4,017 "," 12,837 "," 7,433 "," 5,479 "," 7,426 "," 5,917 ",,,,,,,,,,,,,,,,,
North Dakota," 2,234 ", -," 1,009 "," 1,190 "," 4,994 ", -," 3,934 "," 4,190 "," 1,390 ",,,,,,,,,,,,,,,,,
Ohio," 7,712 "," 3,466 "," 2,753 "," 4,130 "," 12,037 "," 6,925 "," 4,649 "," 6,730 "," 5,725 ",,,,,,,,,,,,,,,,,
Oklahoma," 5,181 ", -," 1,887 "," 2,622 "," 10,028 "," 8,377 "," 3,907 "," 5,500 "," 3,667 ",,,,,,,,,,,,,,,,,
Oregon," 4,618 ", -," 1,730 "," 2,183 "," 12,093 "," 13,869 "," 5,352 "," 7,154 "," 3,509 ",,,,,,,,,,,,,,,,,
Pennsylvania," 6,406 "," 4,273 "," 3,029 "," 4,406 "," 11,206 "," 8,107 "," 5,370 "," 6,791 "," 5,769 ",,,,,,,,,,,,,,,,,
Rhode Island," 11,299 ", -," 3,413 "," 4,969 "," 15,281 "," 9,366 "," 5,938 "," 7,533 "," 7,121 ",,,,,,,,,,,,,,,,,
South Carolina," 8,966 "," 3,567 "," 2,257 "," 3,999 "," 11,879 "," 5,752 "," 5,065 "," 6,533 "," 5,024 ",,,,,,,,,,,,,,,,,
South Dakota," 2,211 ", 754 , 767 ," 1,012 "," 5,766 "," 2,338 "," 2,815 "," 3,861 "," 1,197 ",,,,,,,,,,,,,,,,,
Tennessee," 8,517 ", -," 2,407 "," 3,994 "," 12,968 "," 8,234 "," 4,954 "," 6,822 "," 5,395 ",,,,,,,,,,,,,,,,,
Texas," 5,245 ", 42 ," 2,272 "," 2,842 "," 14,145 "," 10,214 "," 4,294 "," 6,837 "," 4,693 ",,,,,,,,,,,,,,,,,
Utah," 2,796 "," 5,534 "," 1,636 "," 2,083 "," 10,600 "," 5,373 "," 5,217 "," 6,658 "," 3,632 ",,,,,,,,,,,,,,,,,
Vermont," 3,035 "," 1,995 "," 2,835 "," 2,923 "," 5,742 "," 3,940 "," 4,832 "," 5,052 "," 3,455 ",,,,,,,,,,,,,,,,,
Virginia," 9,270 "," 4,907 "," 3,390 "," 5,254 "," 14,714 "," 8,417 "," 6,226 "," 8,456 "," 6,817 ",,,,,,,,,,,,,,,,,
Washington," 6,044 "," 2,749 "," 2,160 "," 3,022 "," 13,728 "," 9,020 "," 5,436 "," 7,411 "," 5,138 ",,,,,,,,,,,,,,,,,
West Virginia," 5,069 ", -," 2,499 "," 3,155 "," 9,729 "," 4,770 "," 5,287 "," 6,804 "," 4,152 ",,,,,,,,,,,,,,,,,
Wisconsin," 6,778 "," 5,303 "," 2,444 "," 3,157 "," 11,525 "," 7,829 "," 3,867 "," 5,254 "," 4,046 ",,,,,,,,,,,,,,,,,
Wyoming," 2,087 ", -," 1,050 "," 1,349 "," 3,398 "," 2,886 "," 2,820 "," 3,004 "," 1,528 ",,,,,,,,,,,,,,,,,
U.S.," 5,148 "," 3,429 "," 2,099 "," 2,868 "," 12,893 "," 10,370 "," 5,698 "," 7,648 "," 4,966 ",,,,,,,,,,,,,,,,,
Puerto Rico," 7,521 ", -," 4,112 "," 5,802 "," 10,847 "," 10,964 "," 6,711 "," 8,499 "," 8,199 ",,,,,,,,,,,,,,,,,
All," 5,148 "," 3,429 "," 2,099 "," 2,868 "," 12,893 "," 10,370 "," 5,698 "," 7,648 "," 4,966 ",,,,,,,,,,,,,,,,,
"For Footnotes, see Footnotes Page",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
