FUNCTIONAL  SYSTEM  TRAVEL - 2019 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"September 30, 2020                                ",,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Missouri," 7,115 "," 5,234 "," 3,284 "," 3,716 "," 5,094 ", 694 ," 9,372 "," 34,510 "," 14,376 "," 5,647 "," 5,683 "," 6,638 "," 3,312 ", 298 ," 8,705 "," 44,659 "," 79,168 "
Montana," 2,642 ", -," 2,630 "," 1,159 ", 861 , 452 ," 1,197 "," 8,941 ", 633 , -," 1,263 ", 648 , 411 , 29 , 966 ," 3,951 "," 12,892 "
Nebraska," 2,941 "," 1,038 "," 2,365 "," 2,404 "," 1,477 ", 277 ," 1,161 "," 11,663 "," 1,677 "," 1,227 "," 2,070 "," 2,477 ", 653 , 37 ," 1,437 "," 9,579 "," 21,242 "
Nevada," 2,328 ", -," 1,719 ", 445 , 419 , 254 , 474 ," 5,639 "," 4,681 "," 1,888 "," 3,500 "," 5,183 ", 50 ," 2,126 "," 5,726 "," 23,155 "," 28,794 "
New Hampshire," 1,100 ", 154 ," 1,108 "," 1,176 "," 1,102 ", 525 , 389 ," 5,554 "," 2,035 "," 1,430 "," 1,344 "," 1,728 ", 909 , -, 828 ," 8,274 "," 13,828 "
New Jersey," 1,237 ", 486 , 688 , 677 , 815 , 171 , 894 ," 4,967 "," 15,849 "," 13,078 "," 16,195 "," 11,515 "," 4,724 ", 673 ," 11,204 "," 73,238 "," 78,205 "
New Mexico," 4,698 ", -," 3,480 "," 1,759 "," 1,603 ", 508 ," 4,374 "," 16,423 "," 2,917 ", 116 ," 4,171 "," 1,826 "," 1,071 ", 266 , 983 ," 11,349 "," 27,772 "
New York," 6,096 ", 895 ," 3,843 "," 3,474 "," 3,880 "," 2,562 "," 4,736 "," 25,487 "," 21,355 "," 17,524 "," 19,382 "," 17,490 "," 7,370 ", 177 ," 15,202 "," 98,499 "," 123,986 "
North Carolina," 6,806 "," 2,812 "," 6,329 "," 6,260 "," 7,387 "," 3,007 "," 9,017 "," 41,618 "," 20,954 "," 5,709 "," 15,955 "," 14,345 "," 7,452 ", 675 ," 15,768 "," 80,857 "," 122,475 "
North Dakota," 1,624 ", -," 2,219 ", 856 ," 1,052 ", -," 1,125 "," 6,876 ", 535 , -, 901 , 666 , 311 , -, 536 ," 2,950 "," 9,826 "
Ohio," 8,947 "," 2,055 "," 4,629 "," 4,307 "," 7,804 "," 1,646 "," 5,634 "," 35,022 "," 25,420 "," 6,607 "," 13,984 "," 13,618 "," 9,644 ", 548 ," 9,852 "," 79,672 "," 114,694 "
Oklahoma," 5,418 ", 25 ," 5,371 "," 2,954 "," 5,658 ", 173 ," 2,422 "," 22,020 "," 5,801 "," 2,827 "," 5,458 "," 4,860 "," 1,481 ", 79 ," 2,123 "," 22,628 "," 44,648 "
Oregon," 4,087 ", -," 4,244 "," 1,883 "," 1,859 ", 505 ," 1,030 "," 13,608 "," 5,790 "," 1,418 "," 5,636 "," 4,434 "," 2,733 ", 272 ," 1,916 "," 22,200 "," 35,808 "
Pennsylvania," 10,866 "," 2,189 "," 4,242 "," 6,172 "," 3,958 "," 1,808 "," 5,270 "," 34,505 "," 16,637 "," 7,746 "," 16,379 "," 12,000 "," 7,743 ", 9 ," 7,844 "," 68,359 "," 102,864 "
Rhode Island, 298 , 58 , 249 , 119 , 148 , 25 , 21 , 918 ," 1,864 ", 942 ," 1,835 "," 1,033 ", 587 , 18 , 384 ," 6,663 "," 7,581 "
South Carolina," 8,569 ", 333 ," 4,528 "," 4,409 "," 4,857 ", 273 ," 3,046 "," 26,015 "," 8,016 ", 921 ," 8,690 "," 7,401 "," 4,199 ", 44 ," 2,653 "," 31,925 "," 57,939 "
South Dakota," 2,168 ", 447 ," 1,542 "," 1,060 "," 1,110 ", 152 , 456 ," 6,934 ", 811 , 90 , 506 ," 1,021 ", 279 , -, 282 ," 2,989 "," 9,922 "
Tennessee," 8,726 ", 79 ," 4,935 "," 4,573 "," 2,842 "," 2,292 "," 2,736 "," 26,184 "," 15,882 "," 2,687 "," 13,779 "," 9,487 "," 4,143 ", 806 ," 9,924 "," 56,708 "," 82,892 "
Texas," 20,137 "," 1,064 "," 23,966 "," 12,620 "," 13,503 "," 2,014 "," 5,321 "," 78,625 "," 52,955 "," 33,671 "," 45,490 "," 34,334 "," 29,446 ", 899 ," 12,807 "," 209,602 "," 288,227 "
Utah," 3,513 ", 88 ," 1,970 ", 880 ," 1,012 ", 282 ," 1,143 "," 8,888 "," 8,463 ", 468 ," 5,810 "," 2,782 "," 1,980 ", 347 ," 4,173 "," 24,023 "," 32,911 "
Vermont," 1,263 ", 6 , 769 , 978 ," 1,127 ", 190 , 889 ," 5,221 ", 551 , 60 , 567 , 336 , 265 , 24 , 322 ," 2,124 "," 7,346 "
Virginia," 9,496 ", 646 ," 6,416 "," 5,375 "," 3,834 "," 1,020 "," 2,605 "," 29,392 "," 16,998 "," 5,313 "," 12,676 "," 10,550 "," 4,563 ", 633 ," 5,307 "," 56,040 "," 85,432 "
Washington," 5,000 "," 1,893 "," 2,456 "," 2,297 "," 3,547 "," 1,079 "," 1,225 "," 17,497 "," 12,435 "," 6,110 "," 10,002 "," 7,964 "," 3,423 ", 145 ," 4,954 "," 45,033 "," 62,530 "
West Virginia," 2,379 ", 0 ," 2,177 "," 1,445 "," 2,311 ", 348 , 951 ," 9,610 "," 3,570 ", 93 ," 2,281 "," 1,903 ", 910 , 27 , 681 ," 9,466 "," 19,077 "
Wisconsin," 6,207 "," 1,252 "," 6,700 "," 4,991 "," 7,756 "," 2,265 "," 4,216 "," 33,386 "," 8,345 "," 3,473 "," 9,320 "," 5,715 "," 3,132 ", -," 2,977 "," 32,962 "," 66,348 "
Wyoming," 2,738 ", -," 1,699 ", 565 , 933 , 593 , 662 ," 7,190 ", 561 , 11 , 791 , 472 , 520 , 111 , 551 ," 3,018 "," 10,208 "
