PUBLIC  ROAD  LENGTH - 2017,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"August 23, 2018                                   ",,,,,,,,,,,,,,,,,TABLE HM-20,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Montana," 1,094 ", -," 2,773 "," 2,843 "," 6,877 "," 8,806 "," 46,944 "," 69,337 ", 98 , -, 257 , 290 , 405 , 54 ," 3,125 "," 4,229 "," 73,566 ",
Nebraska, 415 , 332 ," 2,339 "," 4,181 "," 11,368 "," 8,761 "," 59,890 "," 87,284 ", 69 , 130 , 326 , 866 , 650 , 70 ," 5,768 "," 7,879 "," 95,163 ",
Nevada, 447 , -," 1,523 ", 725 ," 2,256 "," 2,555 "," 30,573 "," 38,080 ", 155 , 53 , 374 , 893 , 49 ," 1,192 "," 7,438 "," 10,154 "," 48,234 ",
New Hampshire, 142 , 9 , 323 , 625 ," 1,042 "," 1,065 "," 7,887 "," 11,092 ", 83 , 74 , 224 , 490 , 536 , -," 3,658 "," 5,064 "," 16,156 ",
New Jersey, 45 , 35 , 160 , 307 , 775 , 338 ," 3,784 "," 5,443 ", 387 , 453 ," 1,801 "," 3,632 "," 2,922 ", 401 ," 23,856 "," 33,452 "," 38,896 ",
New Mexico, 847 , -," 1,937 "," 2,289 "," 4,525 "," 3,146 "," 53,362 "," 66,106 ", 153 , 12 , 685 , 735 , 832 , 306 ," 8,376 "," 11,099 "," 77,205 ",
New York, 804 , 181 ," 2,108 "," 2,835 "," 5,612 "," 9,319 "," 43,015 "," 63,874 ", 940 , 816 ," 3,154 "," 5,503 "," 5,527 ", 240 ," 33,505 "," 49,686 "," 113,559 ",
North Carolina, 551 , 424 ," 1,580 "," 3,077 "," 7,481 "," 6,030 "," 46,547 "," 65,691 ", 721 , 487 ," 1,992 "," 3,453 "," 3,368 ", 453 ," 30,810 "," 41,284 "," 106,975 ",
North Dakota, 510 , -," 2,941 "," 2,526 "," 11,977 ", -," 66,862 "," 84,816 ", 61 , -, 210 , 316 , 326 , -," 1,959 "," 2,873 "," 87,688 ",
Ohio, 643 , 330 ," 1,518 "," 2,655 "," 11,040 "," 6,295 "," 53,018 "," 75,498 ", 931 , 580 ," 2,446 "," 3,972 "," 5,373 ", 600 ," 33,587 "," 47,489 "," 122,987 ",
