FUNCTIONAL  SYSTEM  TRAVEL - 2020 (1),,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"October 26, 2021                                ",,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,
Missouri," 6,483 "," 4,827 "," 3,044 "," 3,500 "," 4,852 ", 667 ," 9,155 "," 32,530 "," 12,152 "," 5,051 "," 5,154 "," 6,189 "," 3,190 ", 291 ," 8,240 "," 40,268 "," 72,797 "
Montana," 2,454 ", -," 2,451 "," 1,112 ", 829 , 440 ," 1,138 "," 8,423 ", 611 , -," 1,169 ", 599 , 391 , 27 , 884 ," 3,681 "," 12,104 "
Nebraska," 2,772 ", 902 ," 2,121 "," 2,265 "," 1,403 ", 278 ," 1,096 "," 10,836 "," 1,428 "," 1,130 "," 1,851 "," 2,333 ", 550 , 35 ," 1,269 "," 8,596 "," 19,432 "
Nevada," 2,201 ", -," 1,643 ", 433 , 401 , 229 , 427 ," 5,333 "," 3,983 "," 1,664 "," 3,052 "," 4,488 ", 46 ," 1,825 "," 4,839 "," 19,898 "," 25,231 "
New Hampshire, 994 , 127 , 958 ," 1,061 ", 977 , 476 , 345 ," 4,937 "," 1,725 "," 1,205 "," 1,143 "," 1,463 ", 780 , -, 703 ," 7,019 "," 11,956 "
New Jersey," 1,001 ", 385 , 609 , 614 , 742 , 151 , 748 ," 4,251 "," 12,807 "," 10,732 "," 14,056 "," 10,129 "," 4,197 ", 597 ," 9,573 "," 62,090 "," 66,341 "
New Mexico," 4,126 ", -," 3,252 "," 1,570 "," 1,531 ", 365 ," 3,368 "," 14,211 "," 2,568 ", 101 ," 3,555 "," 1,518 ", 833 , 213 , 759 ," 9,546 "," 23,756 "
New York," 4,423 ", 715 ," 3,342 "," 3,112 "," 3,544 "," 2,380 "," 4,407 "," 21,922 "," 16,828 "," 14,375 "," 15,684 "," 14,438 "," 6,212 ", 159 ," 12,858 "," 80,555 "," 102,477 "
North Carolina," 5,957 "," 2,471 "," 5,673 "," 5,532 "," 6,566 "," 2,660 "," 7,997 "," 36,857 "," 17,800 "," 4,893 "," 13,861 "," 12,304 "," 6,482 ", 597 ," 13,549 "," 69,485 "," 106,342 "
North Dakota," 1,337 ", -," 1,848 ", 687 , 943 , -," 1,071 "," 5,886 ", 503 , -, 809 , 598 , 288 , -, 683 ," 2,882 "," 8,768 "
Ohio," 7,348 "," 1,782 "," 4,055 "," 3,841 "," 7,162 "," 1,575 "," 5,419 "," 31,182 "," 20,931 "," 5,671 "," 12,326 "," 12,543 "," 8,776 ", 504 ," 11,181 "," 71,933 "," 103,115 "
Oklahoma," 5,027 ", 23 ," 5,017 "," 2,897 "," 5,395 ", 134 ," 2,380 "," 20,872 "," 5,374 "," 2,587 "," 5,207 "," 4,494 "," 1,337 ", 54 ," 2,075 "," 21,128 "," 42,000 "
Oregon," 3,646 ", -," 3,947 "," 1,730 "," 1,844 ", 478 , 730 ," 12,376 "," 4,933 "," 1,303 "," 5,103 "," 3,958 "," 2,474 ", 246 ," 1,905 "," 19,922 "," 32,298 "
Pennsylvania," 9,228 "," 1,872 "," 3,789 "," 5,482 "," 3,677 "," 1,801 "," 5,249 "," 31,099 "," 13,327 "," 6,325 "," 13,732 "," 9,977 "," 5,987 ", 7 ," 7,528 "," 56,884 "," 87,982 "
Rhode Island, 235 , 50 , 219 , 104 , 123 , 22 , 19 , 772 ," 1,575 "," 1,086 "," 1,544 ", 972 , 549 , 18 , 347 ," 6,092 "," 6,864 "
South Carolina," 7,466 ", 294 ," 4,270 "," 4,233 "," 4,845 ", 274 ," 3,009 "," 24,391 "," 7,050 ", 821 ," 8,177 "," 6,900 "," 3,964 ", 45 ," 2,625 "," 29,581 "," 53,972 "
South Dakota," 2,152 ", 435 ," 1,498 "," 1,030 "," 1,119 ", 151 , 455 ," 6,839 ", 807 , 94 , 490 , 966 , 265 , -, 282 ," 2,904 "," 9,743 "
Tennessee," 8,370 ", 106 ," 4,807 "," 4,099 "," 2,658 "," 2,235 "," 2,682 "," 24,955 "," 13,850 "," 2,328 "," 12,658 "," 8,512 "," 3,759 ", 787 ," 9,544 "," 51,437 "," 76,392 "
Texas," 17,942 ", 943 ," 22,140 "," 11,440 "," 12,612 "," 1,990 "," 4,616 "," 71,682 "," 46,707 "," 28,887 "," 40,895 "," 32,373 "," 27,071 ", 784 ," 12,184 "," 188,900 "," 260,582 "
Utah," 3,386 ", 83 ," 1,944 ", 868 ," 1,056 ", 283 ," 1,156 "," 8,777 "," 7,461 ", 415 ," 5,188 "," 2,531 "," 1,795 ", 318 ," 3,767 "," 21,475 "," 30,251 "
Vermont, 926 , 1 , 650 , 838 , 964 , 158 , 736 ," 4,273 ", 415 , 47 , 473 , 285 , 212 , 20 , 283 ," 1,734 "," 6,007 "
Virginia," 8,103 ", 666 ," 5,763 "," 4,803 "," 3,607 ", 929 ," 2,568 "," 26,438 "," 14,989 "," 5,279 "," 11,191 "," 8,809 "," 3,976 ", 529 ," 4,900 "," 49,672 "," 76,110 "
Washington," 4,242 "," 1,689 "," 2,221 "," 2,062 "," 3,216 ", 979 ," 1,085 "," 15,493 "," 10,176 "," 5,112 "," 8,670 "," 6,895 "," 2,972 ", 141 ," 4,198 "," 38,165 "," 53,658 "
West Virginia," 1,925 ", 0 ," 1,856 "," 1,294 "," 2,055 ", 296 , 835 ," 8,260 "," 2,871 ", 64 ," 1,804 "," 1,601 ", 755 , 24 , 675 ," 7,794 "," 16,054 "
Wisconsin," 5,210 "," 1,066 "," 5,689 "," 4,231 "," 7,199 "," 2,012 "," 3,846 "," 29,253 "," 7,045 "," 2,939 "," 8,219 "," 5,215 "," 2,492 ", -," 2,437 "," 28,347 "," 57,600 "
Wyoming," 2,521 ", -," 1,626 ", 566 , 654 , 931 , 840 ," 7,139 ", 514 , 10 , 715 , 469 , 381 , 55 , 517 ," 2,662 "," 9,800 "
U.S. Total," 231,818 "," 34,722 "," 182,348 "," 135,682 "," 153,536 "," 40,613 "," 124,808 "," 903,527 "," 495,425 "," 221,527 "," 428,150 "," 365,937 "," 192,380 "," 19,608 "," 277,067 "," 2,000,095 "," 2,903,622 "
Puerto Rico, 607 , 14 , 257 , 298 , 181 , 0 , 0 ," 1,356 "," 4,229 ", 831 ," 2,702 "," 2,807 "," 1,781 ", 40 , 16 ," 12,405 "," 13,762 "
