WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2016,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,
,,,,,,,,,,
"September 18, 2017                                ",,,,,,,,,TABLE HM-62,
,RURAL,,,,URBAN,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,
Texas," 6,006 "," 3,757 "," 2,371 "," 3,068 "," 3,068 "," 15,579 "," 12,029 "," 7,739 "," 5,236 ",
Utah," 3,143 "," 6,256 "," 1,880 "," 2,367 "," 2,367 "," 11,907 "," 5,486 "," 7,384 "," 4,073 ",
Vermont," 3,294 "," 3,700 "," 3,028 "," 3,150 "," 3,150 "," 6,046 "," 4,230 "," 5,177 "," 3,670 ",
Virginia," 9,901 "," 4,527 "," 2,875 "," 4,746 "," 4,746 "," 14,882 "," 9,253 "," 8,690 "," 6,686 ",
Washington," 6,466 "," 2,997 "," 2,398 "," 3,295 "," 3,295 "," 14,494 "," 9,558 "," 7,703 "," 5,419 ",
West Virginia," 4,942 ", -," 2,275 "," 2,910 "," 2,910 "," 9,288 "," 3,862 "," 6,591 "," 4,115 ",
Wisconsin," 7,532 "," 4,039 "," 2,488 "," 3,297 "," 3,297 "," 11,794 "," 6,339 "," 5,502 "," 4,232 ",
Wyoming," 2,089 ", -," 1,030 "," 1,337 "," 1,337 "," 3,150 "," 3,098 "," 2,914 "," 1,506 ",
U.S.," 5,452 "," 3,775 "," 2,143 "," 2,996 "," 13,500 "," 10,946 "," 5,607 "," 7,822 "," 5,108 ",
Puerto Rico (1)," 7,521 ", -," 4,112 "," 5,802 "," 10,847 "," 10,964 "," 6,711 "," 8,499 "," 8,199 ",
All,,,,,,,,,,
"For Footnotes, see Footnotes Page",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
