PUBLIC  ROAD  LENGTH - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2016,,,,,,,,,,,,,,,,,TABLE HM-20,,,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,,,
Massachusetts, 64 , 10 , 105 , 315 , 867 , 616 ," 4,390 "," 6,369 ", 510 , 322 ," 1,979 "," 4,032 "," 3,078 ", -," 20,132 "," 30,054 "," 36,423 ",,,,,,,,,,,,,,,,,,
Michigan, 566 , 344 ," 2,130 "," 4,886 "," 16,372 "," 4,228 "," 55,796 "," 84,322 ", 686 , 357 ," 2,361 "," 4,952 "," 3,905 ", 93 ," 25,610 "," 37,964 "," 122,286 ",,,,,,,,,,,,,,,,,,
Minnesota, 594 , 4 ," 3,481 "," 6,533 "," 15,976 "," 11,901 "," 78,135 "," 116,624 ", 320 , 162 , 809 ," 2,697 "," 2,434 ", 98 ," 15,624 "," 22,144 "," 138,767 ",,,,,,,,,,,,,,,,,,
Mississippi, 554 , -," 1,783 "," 3,746 "," 11,940 "," 2,316 "," 43,572 "," 63,912 ", 253 , 64 , 956 ," 1,080 "," 1,566 ", 10 ," 8,935 "," 12,865 "," 76,777 ",,,,,,,,,,,,,,,,,,
Missouri, 842 , 926 ," 2,032 "," 3,987 "," 16,416 "," 6,216 "," 76,746 "," 107,165 ", 538 , 478 , 902 ," 2,161 "," 2,462 ", 93 ," 17,748 "," 24,384 "," 131,549 ",,,,,,,,,,,,,,,,,,
Montana," 1,094 ", -," 2,773 "," 2,843 "," 6,875 "," 8,840 "," 48,397 "," 70,822 ", 98 , -, 254 , 290 , 404 , 54 ," 3,086 "," 4,186 "," 75,007 ",,,,,,,,,,,,,,,,,,
Nebraska, 415 , 333 ," 2,353 "," 4,141 "," 11,434 "," 8,782 "," 59,877 "," 87,335 ", 67 , 127 , 395 , 791 , 553 , 9 ," 5,204 "," 7,146 "," 94,481 ",,,,,,,,,,,,,,,,,,
Nevada, 448 , -," 1,504 ", 723 ," 2,198 "," 2,436 "," 26,955 "," 34,263 ", 150 , 55 , 358 , 887 , 50 ," 1,143 "," 6,995 "," 9,638 "," 43,900 ",,,,,,,,,,,,,,,,,,
New Hampshire, 142 , 9 , 324 , 626 ," 1,039 "," 1,067 "," 7,876 "," 11,083 ", 83 , 74 , 222 , 490 , 536 , -," 3,651 "," 5,056 "," 16,138 ",,,,,,,,,,,,,,,,,,
New Jersey, 45 , 35 , 157 , 290 , 772 , 334 ," 4,050 "," 5,684 ", 387 , 453 ," 1,804 "," 3,651 "," 2,925 ", 405 ," 23,756 "," 33,381 "," 39,065 ",,,,,,,,,,,,,,,,,,
New Mexico, 847 , -," 1,941 "," 2,252 "," 4,545 "," 3,151 "," 47,977 "," 60,712 ", 153 , 11 , 684 , 734 , 847 , 305 ," 5,622 "," 8,356 "," 69,069 ",,,,,,,,,,,,,,,,,,
New York, 803 , 113 ," 2,132 "," 2,873 "," 5,590 "," 9,346 "," 43,541 "," 64,398 ", 941 , 815 ," 3,098 "," 5,569 "," 5,541 ", 233 ," 33,771 "," 49,967 "," 114,365 ",,,,,,,,,,,,,,,,,,
North Carolina, 551 , 408 ," 1,547 "," 3,092 "," 7,493 "," 6,034 "," 46,377 "," 65,502 ", 720 , 465 ," 1,976 "," 3,441 "," 3,343 ", 433 ," 30,453 "," 40,832 "," 106,334 ",,,,,,,,,,,,,,,,,,
North Dakota, 511 , -," 2,963 "," 2,516 "," 11,988 ", -," 67,024 "," 85,003 ", 60 , -, 188 , 303 , 329 , -," 1,246 "," 2,125 "," 87,128 ",,,,,,,,,,,,,,,,,,
Ohio, 643 , 331 ," 1,518 "," 2,649 "," 11,029 "," 6,273 "," 53,049 "," 75,492 ", 931 , 581 ," 2,428 "," 3,977 "," 5,370 ", 598 ," 33,548 "," 47,434 "," 122,926 ",,,,,,,,,,,,,,,,,,
Oklahoma, 646 , -," 2,252 "," 2,665 "," 21,129 "," 2,986 "," 65,110 "," 94,790 ", 286 , 198 ," 1,168 "," 2,205 "," 1,491 ", 118 ," 12,455 "," 17,922 "," 112,711 ",,,,,,,,,,,,,,,,,,
Oregon, 495 , -," 2,658 "," 2,225 "," 8,169 "," 8,037 "," 37,057 "," 58,641 ", 234 , 57 , 856 ," 1,286 "," 2,121 ", 495 ," 9,853 "," 14,902 "," 73,544 ",,,,,,,,,,,,,,,,,,
Pennsylvania," 1,112 ", 357 ," 1,563 "," 4,543 "," 7,372 "," 6,980 "," 50,565 "," 72,492 ", 756 , 527 ," 2,812 "," 4,017 "," 5,478 ", -," 34,009 "," 47,599 "," 120,091 ",,,,,,,,,,,,,,,,,,
