WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2017,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,
,,,,,,,,,,
"August 23, 2018                                   ",,,,,,,,,TABLE HM-62,
,RURAL,,,,URBAN,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,
Texas," 6,192 "," 5,271 "," 2,360 "," 3,123 "," 3,123 "," 15,522 "," 12,468 "," 7,738 "," 5,251 ",
Utah," 3,310 "," 6,519 "," 2,020 "," 2,518 "," 2,518 "," 12,302 "," 5,555 "," 7,558 "," 4,234 ",
Vermont," 3,348 "," 3,757 "," 3,138 "," 3,231 "," 3,231 "," 6,086 "," 4,116 "," 5,283 "," 3,765 ",
Virginia," 10,107 "," 4,666 "," 2,950 "," 4,856 "," 4,856 "," 15,165 "," 9,116 "," 8,780 "," 6,775 ",
Washington," 6,568 "," 3,022 "," 2,434 "," 3,340 "," 3,340 "," 14,696 "," 9,625 "," 7,771 "," 5,480 ",
West Virginia," 5,198 ", 511 ," 2,072 "," 2,819 "," 2,819 "," 9,364 "," 4,661 "," 6,429 "," 3,999 ",
Wisconsin," 7,780 "," 4,154 "," 2,568 "," 3,401 "," 3,401 "," 12,296 "," 6,485 "," 5,610 "," 4,338 ",
Wyoming," 2,130 ", -," 1,045 "," 1,359 "," 1,359 "," 3,455 "," 3,162 "," 3,168 "," 1,550 ",
U.S.," 5,702 "," 3,554 "," 2,538 "," 3,427 "," 12,440 "," 8,524 "," 5,373 "," 7,265 "," 5,141 ",
Puerto Rico," 7,256 ", -," 4,337 "," 5,753 "," 5,753 "," 10,068 "," 10,165 "," 7,896 "," 7,652 ",
All," 5,732 "," 3,486 "," 2,573 "," 3,472 "," 12,394 "," 8,555 "," 5,388 "," 7,277 "," 5,189 ",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
