FUNCTIONAL  SYSTEM  TRAVEL - 2018 (1),,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"August 30, 2019                                   ",,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Mississippi," 4,638 ", -," 5,284 "," 3,561 "," 4,008 ", 399 ," 5,944 "," 23,833 "," 4,227 ", 509 ," 5,142 "," 2,599 "," 1,757 ", 5 ," 2,659 "," 16,898 "," 40,730 ",
Missouri," 7,059 "," 5,125 "," 3,244 "," 3,697 "," 5,019 ", 693 ," 8,328 "," 33,166 "," 14,342 "," 5,498 "," 5,666 "," 6,579 "," 3,282 ", 289 ," 7,772 "," 43,429 "," 76,595 ",
Montana," 2,629 ", -," 2,590 "," 1,121 ", 834 , 441 ," 1,140 "," 8,754 ", 635 , -," 1,276 ", 643 , 409 , 28 , 953 ," 3,945 "," 12,700 ",
Nebraska," 2,978 "," 1,028 "," 2,337 "," 2,395 "," 1,449 ", 274 ," 1,155 "," 11,617 "," 1,673 "," 1,214 "," 2,046 "," 2,479 ", 638 , 38 ," 1,270 "," 9,358 "," 20,975 ",
Nevada," 2,457 ", -," 1,713 ", 415 , 392 , 253 , 471 ," 5,701 "," 4,662 "," 1,822 "," 3,309 "," 5,049 ", 48 ," 2,070 "," 5,658 "," 22,618 "," 28,319 ",
New Hampshire," 1,087 ", 151 ," 1,094 "," 1,168 "," 1,085 ", 515 , 384 ," 5,484 "," 2,025 "," 1,421 "," 1,350 "," 1,738 ", 929 , -, 829 ," 8,292 "," 13,776 ",
New Jersey," 1,225 ", 479 , 681 , 666 , 807 , 152 , 858 ," 4,868 "," 15,444 "," 13,079 "," 16,036 "," 11,291 "," 4,635 ", 679 ," 11,507 "," 72,671 "," 77,539 ",
New Mexico," 4,566 ", -," 3,515 "," 1,766 "," 1,452 ", 488 ," 4,391 "," 16,179 "," 2,793 ", 115 ," 4,071 "," 1,827 "," 1,097 ", 267 , 939 ," 11,109 "," 27,288 ",
New York," 6,109 ", 889 ," 3,825 "," 3,429 "," 3,826 "," 2,533 "," 4,693 "," 25,303 "," 21,425 "," 17,725 "," 19,403 "," 17,469 "," 7,289 ", 176 ," 14,720 "," 98,207 "," 123,510 ",
North Carolina," 6,845 "," 2,768 "," 6,228 "," 6,168 "," 7,233 "," 2,967 "," 8,955 "," 41,166 "," 20,295 "," 6,143 "," 15,899 "," 14,214 "," 7,305 ", 656 ," 15,451 "," 79,962 "," 121,127 ",
North Dakota," 1,674 ", -," 2,170 ", 854 ," 1,058 ", -," 1,127 "," 6,882 ", 558 , -, 895 , 667 , 321 , -, 532 ," 2,974 "," 9,856 ",
Ohio (2)," 8,996 "," 2,007 "," 4,532 "," 4,244 "," 7,835 "," 1,592 "," 5,432 "," 34,637 "," 25,497 "," 6,512 "," 13,778 "," 13,712 "," 9,724 ", 500 ," 10,114 "," 79,837 "," 114,474 ",
Oklahoma," 5,443 ", 24 ," 5,307 "," 3,056 "," 5,656 ", 173 ," 2,437 "," 22,096 "," 5,734 "," 3,215 "," 5,657 "," 5,009 "," 1,520 ", 86 ," 2,116 "," 23,337 "," 45,433 ",
Oregon," 4,069 ", -," 4,283 "," 1,867 "," 1,847 ", 503 ," 2,019 "," 14,589 "," 5,774 "," 1,466 "," 5,657 "," 4,400 "," 2,713 ", 276 ," 1,974 "," 22,259 "," 36,848 ",
Pennsylvania," 10,929 "," 2,122 "," 3,994 "," 6,175 "," 3,951 "," 1,794 "," 5,351 "," 34,318 "," 16,140 "," 7,642 "," 16,387 "," 12,078 "," 7,743 ", 5 ," 7,795 "," 67,792 "," 102,109 ",
Rhode Island, 319 , 56 , 233 , 109 , 150 , 25 , 22 , 913 ," 1,914 "," 1,254 "," 1,878 "," 1,042 ", 602 , 17 , 388 ," 7,095 "," 8,009 ",
South Carolina," 8,367 ", 280 ," 4,479 "," 4,310 "," 4,894 ", 256 ," 3,010 "," 25,596 "," 7,797 ", 802 ," 8,542 "," 7,321 "," 4,176 ", 37 ," 2,530 "," 31,205 "," 56,801 ",
South Dakota," 2,094 ", 432 ," 1,537 "," 1,036 "," 1,078 ", 149 , 460 ," 6,786 ", 777 , 86 , 500 , 998 , 290 , -, 283 ," 2,934 "," 9,719 ",
Tennessee," 8,436 ", 70 ," 4,807 "," 4,468 "," 2,809 "," 2,664 "," 2,640 "," 25,892 "," 15,578 "," 2,532 "," 13,464 "," 9,276 "," 4,047 ", 797 ," 9,737 "," 55,429 "," 81,321 ",
Texas," 19,407 "," 1,019 "," 23,931 "," 12,379 "," 12,950 "," 1,886 "," 5,173 "," 76,747 "," 51,843 "," 32,979 "," 44,390 "," 33,566 "," 28,483 ", 785 ," 13,244 "," 205,290 "," 282,037 ",
Utah," 3,437 ", 86 ," 1,947 ", 871 ," 1,007 ", 275 ," 1,294 "," 8,916 "," 8,286 ", 458 ," 5,712 "," 2,728 "," 1,937 ", 317 ," 3,715 "," 23,154 "," 32,069 ",
Vermont," 1,246 ", 5 , 772 , 966 ," 1,100 ", 205 , 923 ," 5,217 ", 579 , 60 , 568 , 336 , 259 , 25 , 301 ," 2,129 "," 7,346 ",
Virginia," 9,347 ", 649 ," 6,397 "," 5,231 "," 3,745 "," 1,006 "," 2,633 "," 29,009 "," 17,110 "," 5,385 "," 12,851 "," 10,477 "," 4,576 ", 652 ," 5,277 "," 56,327 "," 85,336 ",
Washington," 4,974 "," 1,878 "," 2,444 "," 2,253 "," 3,572 "," 1,085 "," 1,220 "," 17,426 "," 12,453 "," 6,111 "," 9,944 "," 7,882 "," 3,471 ", 136 ," 4,943 "," 44,940 "," 62,367 ",
West Virginia," 2,496 ", 0 ," 2,207 "," 1,462 "," 2,405 ", 348 , 950 ," 9,868 "," 3,591 ", 92 ," 2,279 "," 1,945 ", 927 , 28 , 717 ," 9,579 "," 19,447 ",
Wisconsin," 6,223 "," 1,247 "," 6,812 "," 4,988 "," 7,995 "," 2,189 "," 3,903 "," 33,357 "," 8,296 "," 3,512 "," 9,228 "," 5,672 "," 2,830 ", -," 2,990 "," 32,528 "," 65,885 ",
Wyoming," 2,637 ", -," 1,613 ", 538 , 688 ," 1,093 ", 817 ," 7,387 ", 546 , 13 , 851 , 500 , 428 , 64 , 649 ," 3,052 "," 10,438 ",
U.S. Total," 257,240 "," 36,992 "," 196,071 "," 146,468 "," 164,558 "," 43,595 "," 133,878 "," 978,802 "," 571,415 "," 254,037 "," 484,343 "," 415,776 "," 211,505 "," 18,103 "," 306,346 "," 2,261,525 "," 3,240,327 ",
Puerto Rico, 450 , -, 209 , 268 , 150 , 0 , 0 ," 1,077 "," 4,698 ", 968 ," 3,114 "," 3,142 "," 2,004 ", -, 16 ," 13,943 "," 15,020 ",
Grand Total," 257,690 "," 36,992 "," 196,280 "," 146,736 "," 164,709 "," 43,595 "," 133,878 "," 979,879 "," 576,113 "," 255,006 "," 487,457 "," 418,918 "," 213,509 "," 18,103 "," 306,362 "," 2,275,468 "," 3,255,347 ",
(1)  Travel for the rural minor collector and rural/urban local functional systems is estimated by the States based on a model or other means and provided,,,,,,,,,     (2)  The State updated their travel procedures in 2018.,,,,,,,,,
to the FHWA on a summary basis.  Travel for all other systems are estimated from State-provided data in the Highway Performance Monitoring System.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
