FUNCTIONAL  SYSTEM  TRAVEL - 2011  (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,,,,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 2,039 ", -," 1,703 "," 1,070 "," 1,053 ", 148 , 463 ," 6,477 ", 626 , 37 , 559 , 802 , 245 , -, 256 ," 2,525 "," 9,002 ",,,,,,,,,,,,,,,,,,,
Tennessee," 8,650 ", -," 5,485 "," 4,988 "," 3,195 "," 2,738 "," 3,148 "," 28,205 "," 11,750 "," 2,015 "," 10,747 "," 8,251 "," 2,970 ", -," 6,813 "," 42,546 "," 70,751 ",,,,,,,,,,,,,,,,,,,
Texas," 15,549 ", -," 20,513 "," 12,081 "," 13,835 "," 2,595 "," 5,515 "," 70,087 "," 40,185 "," 32,294 "," 37,100 "," 28,883 "," 19,245 ", -," 9,646 "," 167,353 "," 237,440 ",,,,,,,,,,,,,,,,,,,
Utah," 3,097 ", -," 1,634 ", 862 , 862 , 228 ," 1,084 "," 7,767 "," 6,187 ", 287 ," 3,016 "," 3,634 "," 1,526 ", 2 ," 3,803 "," 18,455 "," 26,222 ",,,,,,,,,,,,,,,,,,,
Vermont," 1,252 ", -, 711 , 931 ," 1,179 ", 215 , 995 ," 5,283 ", 376 , 63 , 430 , 352 , 224 , -, 413 ," 1,858 "," 7,141 ",,,,,,,,,,,,,,,,,,,
Virginia," 9,152 ", -," 6,388 "," 5,174 "," 4,981 ", 545 ," 3,379 "," 29,620 "," 14,910 "," 3,395 "," 12,953 "," 10,444 "," 4,131 ", -," 5,522 "," 51,354 "," 80,974 ",,,,,,,,,,,,,,,,,,,
Washington," 4,574 "," 1,832 "," 2,199 "," 2,142 "," 3,902 "," 1,163 "," 1,190 "," 17,001 "," 10,873 "," 5,282 "," 8,779 "," 7,561 "," 3,063 ", -," 4,396 "," 39,953 "," 56,955 ",,,,,,,,,,,,,,,,,,,
West Virginia," 2,706 ", -," 2,529 "," 1,588 "," 2,720 ", 383 ," 1,038 "," 10,964 "," 2,688 ", 77 ," 1,978 "," 2,055 ", 660 , -, 541 ," 7,999 "," 18,963 ",,,,,,,,,,,,,,,,,,,
Wisconsin," 5,202 "," 1,653 "," 6,924 "," 5,320 "," 7,371 "," 1,350 "," 1,858 "," 29,678 "," 5,206 "," 4,542 "," 9,214 "," 5,645 "," 2,679 ", -," 1,590 "," 28,876 "," 58,554 ",,,,,,,,,,,,,,,,,,,
Wyoming," 2,401 ", -," 1,631 ", 572 , 594 , 699 , 612 ," 6,509 ", 493 , 11 , 758 , 370 , 401 , 3 , 700 ," 2,736 "," 9,245 ",,,,,,,,,,,,,,,,,,,
U.S. Total," 243,587 "," 19,438 "," 204,219 "," 149,519 "," 175,962 "," 46,735 "," 130,504 "," 969,964 "," 476,704 "," 221,986 "," 454,502 "," 369,514 "," 175,791 "," 3,605 "," 273,127 "," 1,975,229 "," 2,945,194 ",,,,,,,,,,,,,,,,,,,
Puerto Rico  (2), 462 , -, 179 , 280 , 139 , 143 , 96 ," 1,299 "," 5,033 "," 1,040 "," 3,600 "," 3,491 "," 2,180 ", -," 1,946 "," 17,290 "," 18,588 ",,,,,,,,,,,,,,,,,,,
Grand Total," 244,050 "," 19,438 "," 204,398 "," 149,799 "," 176,101 "," 46,878 "," 130,600 "," 971,263 "," 481,737 "," 223,026 "," 458,101 "," 373,005 "," 177,972 "," 3,605 "," 275,073 "," 1,992,519 "," 2,963,782 ",,,,,,,,,,,,,,,,,,,
 (1) Travel for the rural minor collector and rural/urban local functional systems is estimated by the States based on a model or other means and provided,,,,,,,,,(2)  2010 data.,,,,,,,,,,,,,,,,,,,,,,,,,,,
to the FHWA on a summary basis.  Travel for all other systems are estimated from State-provided data in the Highway Performance Monitoring System.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
