WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2013,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,
,,,,,,,,,,
"October 21, 2014                                  ",,,,,,,,,TABLE HM-62,
,RURAL,,,,URBAN,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,
Texas," 5,346 ", -," 2,448 "," 3,064 "," 14,814 "," 10,447 "," 4,329 "," 6,985 "," 4,890 ",
Utah," 2,738 ", -," 1,596 "," 2,017 "," 10,381 "," 10,125 "," 5,007 "," 6,554 "," 3,521 ",
Vermont," 3,050 "," 2,944 "," 2,857 "," 2,947 "," 6,584 "," 3,712 "," 4,828 "," 5,141 "," 3,414 ",
Virginia," 9,085 "," 3,849 "," 3,397 "," 5,184 "," 14,772 "," 8,356 "," 6,201 "," 8,381 "," 6,757 ",
Washington," 5,903 "," 2,656 "," 2,125 "," 2,953 "," 13,576 "," 8,857 "," 5,316 "," 7,283 "," 5,042 ",
West Virginia," 5,518 ", -," 2,401 "," 3,200 "," 9,601 "," 4,716 "," 5,354 "," 6,793 "," 4,184 ",
Wisconsin," 6,827 "," 5,122 "," 2,445 "," 3,155 "," 11,764 "," 7,702 "," 3,918 "," 5,298 "," 4,064 ",
Wyoming," 2,046 ", -," 1,021 "," 1,317 "," 3,314 "," 2,776 "," 2,980 "," 3,083 "," 1,505 ",
U.S.," 5,124 "," 3,341 "," 2,117 "," 2,879 "," 13,071 "," 10,366 "," 5,321 "," 7,376 "," 4,833 ",
Puerto Rico  (1)," 8,955 ", -," 4,262 "," 5,981 "," 12,342 "," 10,980 "," 7,179 "," 9,289 "," 8,930 ",
All,,,,,,,,,,
"For Footnotes, see Footnotes Page",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
