WEIGHTED  AVERAGE  DAILY  TRAFFIC  PER  LANE - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,
ON  PRINCIPAL  ARTERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRUARY 2013,,,,,,,,,TABLE HM-62,,,,,,,,,,,,,,,,,
,RURAL,,,,URBAN,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,ALL,,OTHER,OTHER,ALL,ALL,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,PRINCIPAL,PRINCIPAL,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIALS,,EXPRESSWAYS,ARTERIAL,ARTERIALS,ARTERIALS,,,,,,,,,,,,,,,,,
North Carolina," 7,207 "," 6,336 "," 3,323 "," 4,200 "," 12,551 "," 7,689 "," 5,433 "," 7,317 "," 5,916 ",,,,,,,,,,,,,,,,,
North Dakota," 2,128 ", -, 845 ," 1,038 "," 5,156 ", -," 3,576 "," 3,951 "," 1,211 ",,,,,,,,,,,,,,,,,
Ohio," 7,563 ", -," 2,951 "," 4,188 "," 12,636 "," 7,283 "," 4,413 "," 6,642 "," 5,617 ",,,,,,,,,,,,,,,,,
Oklahoma," 5,057 ", -," 1,857 "," 2,583 "," 10,334 "," 8,184 "," 4,263 "," 5,766 "," 3,640 ",,,,,,,,,,,,,,,,,
Oregon," 4,859 ", -," 1,790 "," 2,297 "," 13,152 "," 14,042 "," 5,388 "," 7,263 "," 3,435 ",,,,,,,,,,,,,,,,,
Pennsylvania," 6,377 "," 3,921 "," 3,064 "," 4,382 "," 10,640 "," 7,886 "," 5,499 "," 6,731 "," 5,731 ",,,,,,,,,,,,,,,,,
Rhode Island," 12,707 ", -," 3,329 "," 6,231 "," 15,142 "," 9,156 "," 6,133 "," 7,562 "," 7,399 ",,,,,,,,,,,,,,,,,
South Carolina," 8,585 ", -," 2,368 "," 4,298 "," 11,640 "," 6,942 "," 4,993 "," 6,383 "," 5,193 ",,,,,,,,,,,,,,,,,
South Dakota," 2,316 ", -, 768 ," 1,065 "," 4,910 "," 2,448 "," 2,667 "," 3,405 "," 1,225 ",,,,,,,,,,,,,,,,,
Tennessee," 8,396 ", -," 2,508 "," 4,079 "," 13,544 "," 7,805 "," 5,063 "," 6,935 "," 5,367 ",,,,,,,,,,,,,,,,,
Texas," 5,016 ", -," 2,336 "," 2,915 "," 14,906 "," 10,835 "," 4,344 "," 6,965 "," 4,833 ",,,,,,,,,,,,,,,,,
Utah," 2,874 ", -," 1,698 "," 2,183 "," 11,543 "," 9,083 "," 5,232 "," 7,495 "," 3,581 ",,,,,,,,,,,,,,,,,
Vermont," 3,063 ", -," 2,730 "," 2,885 "," 6,390 "," 3,854 "," 4,939 "," 5,184 "," 3,372 ",,,,,,,,,,,,,,,,,
Virginia," 8,953 ", -," 3,238 "," 5,056 "," 14,799 "," 8,118 "," 6,346 "," 8,450 "," 6,757 ",,,,,,,,,,,,,,,,,
Washington," 5,707 "," 2,577 "," 2,321 "," 3,043 "," 14,592 "," 9,405 "," 5,337 "," 7,454 "," 5,042 ",,,,,,,,,,,,,,,,,
West Virginia," 4,817 ", -," 2,422 "," 3,029 "," 9,125 "," 5,738 "," 5,415 "," 6,723 "," 4,019 ",,,,,,,,,,,,,,,,,
Wisconsin," 7,004 "," 5,304 "," 2,524 "," 3,272 "," 11,092 "," 7,957 "," 4,033 "," 5,333 "," 4,108 ",,,,,,,,,,,,,,,,,
Wyoming," 2,024 ", -," 1,063 "," 1,342 "," 3,339 "," 2,544 "," 2,829 "," 2,986 "," 1,512 ",,,,,,,,,,,,,,,,,
U.S.," 5,176 "," 3,327 "," 2,200 "," 2,955 "," 13,108 "," 10,394 "," 5,346 "," 7,367 "," 4,828 ",,,,,,,,,,,,,,,,,
Puerto Rico  1/," 8,955 ", -," 4,262 "," 5,981 "," 12,342 "," 10,980 "," 7,179 "," 9,289 "," 8,930 ",,,,,,,,,,,,,,,,,
All,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Footnotes, see Footnotes Page",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
