FUNCTIONAL  SYSTEM  TRAVEL - 2017 (1),,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MAY 2020,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2,
,RURAL,,,,,,,,URBAN,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,
Mississippi," 4,493 ", -," 5,205 "," 3,549 "," 4,047 ", 398 ," 6,371 "," 24,063 "," 4,135 ", 481 ," 5,160 "," 2,585 "," 1,756 ", 5 ," 2,692 "," 16,814 "," 40,877 ",
Missouri," 7,082 "," 5,098 "," 3,270 "," 3,624 "," 5,118 ", 698 ," 7,582 "," 32,472 "," 14,509 "," 5,512 "," 5,739 "," 6,554 "," 3,299 ", 295 ," 7,532 "," 43,440 "," 75,911 ",
Montana," 2,645 ", -," 2,528 "," 1,093 ", 860 , 457 ," 1,164 "," 8,746 ", 632 , -," 1,271 ", 628 , 410 , 28 , 929 ," 3,898 "," 12,645 ",
Nebraska," 3,001 ", 986 ," 2,294 "," 2,377 "," 1,444 ", 274 ," 1,125 "," 11,501 "," 1,676 "," 1,181 "," 2,063 "," 2,380 ", 636 , 46 ," 1,518 "," 9,501 "," 21,002 ",
Nevada," 2,304 ", -," 1,678 ", 405 , 372 , 244 , 456 ," 5,459 "," 4,504 "," 1,789 "," 3,316 "," 4,998 ", 46 ," 2,008 "," 5,467 "," 22,128 "," 27,587 ",
New Hampshire," 1,117 ", 149 ," 1,064 "," 1,161 "," 1,068 ", 494 , 379 ," 5,432 "," 2,016 "," 1,393 "," 1,361 "," 1,739 ", 915 , -, 825 ," 8,249 "," 13,681 ",
New Jersey," 1,228 ", 493 , 698 , 657 , 834 , 167 , 803 ," 4,880 "," 15,357 "," 13,290 "," 16,260 "," 11,041 "," 4,512 ", 718 ," 11,451 "," 72,628 "," 77,509 ",
New Mexico," 4,563 ", -," 3,541 "," 1,900 "," 1,605 ", 605 ," 4,595 "," 16,810 "," 2,662 ", 113 ," 3,986 "," 1,895 "," 1,130 ", 287 , 954 ," 11,026 "," 27,836 ",
New York," 6,020 ", 869 ," 3,773 "," 3,409 "," 3,790 "," 2,559 "," 4,740 "," 25,160 "," 21,422 "," 17,478 "," 19,468 "," 17,560 "," 7,272 ", 171 ," 14,945 "," 98,317 "," 123,477 ",
North Carolina," 6,702 "," 2,677 "," 6,004 "," 5,974 "," 7,100 "," 2,961 "," 8,710 "," 40,129 "," 19,992 "," 6,192 "," 15,700 "," 14,102 "," 7,140 ", 634 ," 15,287 "," 79,048 "," 119,176 ",
North Dakota," 1,563 ", -," 2,192 ", 844 ," 1,073 ", -," 1,127 "," 6,798 ", 524 , -, 925 , 649 , 296 , -, 525 ," 2,919 "," 9,717 ",
Ohio," 8,919 "," 1,966 "," 4,557 "," 4,326 "," 7,911 "," 1,766 "," 5,895 "," 35,342 "," 25,517 "," 6,492 "," 13,770 "," 13,843 "," 9,806 ", 506 ," 14,324 "," 84,256 "," 119,598 ",
