Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,ANNUAL TOTAL
CRUISE LLC,AVDT005,5G21A6P09N4121665,0,0,0,0,0,0,0,879.47,330.27,550.4,833.42,943.6,959.48,4496.64
CRUISE LLC,AVDT005,5G21A6P05L4100177,0,0,0,0,85.45,1150.28,653.94,1086.09,493.89,403.98,674.89,106.52,0,4655.04
CRUISE LLC,AVDT005,5G21A6P00N4121635,0,0,0,0,0,0,142.75,894.29,281.26,630.61,626.65,1008.32,772.86,4356.74
CRUISE LLC,AVDT005,5G21A6P05N4121632,0,0,0,0,0,0,161.53,950.86,187.48,427.95,797.51,1044.9,766.41,4336.64
CRUISE LLC,AVDT005,5G21A6P04N4121685,0,0,0,0,0,0,0,1080.67,180.16,387.94,735.05,1100.02,835.7,4319.54
CRUISE LLC,AVDT005,5G21A6P0XN4121643,0,0,0,0,0,0,234.71,1025.5,437.18,435.94,552.28,902.85,613.9,4202.36
CRUISE LLC,AVDT005,5G21A6P05N4121629,0,0,0,0,0,0,74.24,801.05,283.2,531.13,655.74,1020.32,798.54,4164.22
CRUISE LLC,AVDT005,5G21A6P04L4100185,0,0,0,0,436.73,1376.63,1120.24,963.15,566.99,115.9,0,0,0,4579.64
CRUISE LLC,AVDT005,5G21A6P05N4121601,0,0,0,0,0,879.23,1307.77,891.5,510.39,469.3,348.78,0,0,4406.97
CRUISE LLC,AVDT005,5G21A6P07L4100102,0,0,0,0,124.43,1645.16,1187.72,436.58,201.15,350.22,397.99,0,0,4343.25
CRUISE LLC,AVDT005,5G21A6P01N4121630,0,0,0,0,0,0,119.87,971.93,396.58,480.55,648.53,357.84,1028.35,4003.65
CRUISE LLC,AVDT005,5G21A6P04N4121640,0,0,0,0,0,0,142.14,936.01,118.58,472.67,939.74,608.21,901.17,4118.52
CRUISE LLC,AVDT005,5G21A6P01N4121692,0,0,0,0,0,0,0,647.37,288.52,452.42,405.39,886.48,1185.84,3866.02
CRUISE LLC,AVDT005,5G21A6P01N4121627,0,0,0,0,0,0,152.85,931.9,195.83,111.15,804.27,1058.44,832.93,4087.37
CRUISE LLC,AVDT005,5G21A6P01N4121644,0,0,0,0,0,0,123.24,1061.4,249.55,378.86,762.71,478.09,945.02,3998.87
CRUISE LLC,AVDT005,5G21A6P07N4121681,0,0,0,0,0,0,0,248.37,340.34,431.26,682.15,999.99,1104.83,3806.94
CRUISE LLC,AVDT005,5G21A6P03N4121662,0,0,0,0,0,0,0,1076.33,285.1,382.24,656.24,822.51,793.73,4016.15
CRUISE LLC,AVDT005,5G21A6P04N4121654,0,0,0,0,0,0,0,0,175.34,400.85,867.83,1134.01,1039.58,3617.61
CRUISE LLC,AVDT005,5G21A6P09N4121651,0,0,0,0,0,0,94.8,1073.05,342.16,321.49,814.52,454.29,761.38,3861.69
CRUISE LLC,AVDT005,5G21A6P03N4121645,0,0,0,0,0,0,0,834.59,323.47,86.84,964.13,1007.82,604.28,3821.13
CRUISE LLC,AVDT005,5G21A6P01N4121675,0,0,0,0,0,0,0,952.5,318.28,279.94,696.71,528.68,845.91,3622.02
CRUISE LLC,AVDT005,5G21A6P07N4121664,0,0,0,0,0,0,0,556.84,329.16,316.84,787.09,822.71,868.38,3681.02
CRUISE LLC,AVDT005,5G21A6P03N4121631,0,0,0,0,0,0,0,401.59,294.77,741.6,520.52,714.35,1009.74,3682.57
CRUISE LLC,AVDT005,5G21A6P06N4121672,0,0,0,0,0,0,0,737.72,242.7,301.33,471.98,988.66,739.76,3482.15
CRUISE LLC,AVDT005,5G21A6P05N4122098,0,0,0,0,0,0,0,0,270.57,420.12,919.63,1046.24,754.58,3411.14
CRUISE LLC,AVDT005,5G21A6P02N4121636,0,0,0,0,0,0,183.54,990.38,355.42,395.53,551.19,728.19,418.81,3623.06
CRUISE LLC,AVDT005,5G21A6P0XN4121626,0,0,0,0,0,0,118.37,1018.63,172.15,307.79,469.99,355.9,956.49,3399.32
CRUISE LLC,AVDT005,5G21A6P07N4121633,0,0,0,0,0,0,0,332.47,429.19,259.98,736.5,774.74,1084.91,3617.79
CRUISE LLC,AVDT005,5G21A6P08L4100058,0,0,0,0,0,0,1388.42,718.79,520.83,392.97,599.69,0,0,3620.7
CRUISE LLC,AVDT005,5G21A6P06N4121686,0,0,0,0,0,0,0,0,190.92,212.92,888.44,1104.39,935.08,3331.75
CRUISE LLC,AVDT005,5G21A6P06N4121638,0,0,0,0,0,0,172.75,792.52,293.45,77.28,415.41,924.32,749.04,3424.77
