Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,ANNUAL TOTAL
CRUISE LLC,AVDT005,5G21A6P09N4121679,0,0,0,0,0,0,0,0,14.01,0,0,0,221.12,235.13
CRUISE LLC,AVDT005,5G21A6P03P4103505,0,0,0,0,0,0,0,0,0,0,0,0,232.78,232.78
CRUISE LLC,AVDT005,5G21A6P07P4102129,0,0,0,0,0,0,0,0,0,0,0,0,177.46,177.46
CRUISE LLC,AVDT005,5G21A6P01N4121689,0,0,0,0,0,0,0,0,0,0,0,0,217.02,217.02
CRUISE LLC,AVDT005,5G21A6P00P4100089,0,0,0,0,0,0,0,0,0,0,0,205.28,0,205.28
CRUISE LLC,AVDT005,5G21A6P04P4105361,0,0,0,0,0,0,0,0,0,0,0,0,186.07,186.07
CRUISE LLC,AVDT005,5G21A6P05P4102131,0,0,0,0,0,0,0,0,0,0,0,0,128.9,128.9
CRUISE LLC,AVDT005,5G21A6P08P4103063,0,0,0,0,0,0,0,0,0,0,0,0,163.49,163.49
CRUISE LLC,AVDT005,5G21A6P09P4100057,0,0,0,0,0,0,0,0,0,0,21.54,47.54,98.2,167.28
CRUISE LLC,AVDT005,5G21A6P09P4104674,0,0,0,0,0,0,0,0,0,0,0,0,97.2,97.2
CRUISE LLC,AVDT005,5G21A6P05N4121663,0,0,0,0,0,0,0,112.89,0,0,0,0,0,112.89
CRUISE LLC,AVDT005,5G21A6P02P4103060,0,0,0,0,0,0,0,0,0,0,0,0,107.6,107.6
CRUISE LLC,AVDT005,5G21A6P08P4100115,0,0,0,0,0,0,0,0,0,0,0,0,90.4,90.4
CRUISE LLC,AVDT005,5G21A6P06P4101683,0,0,0,0,0,0,0,0,0,0,0,0,75.82,75.82
CRUISE LLC,AVDT005,5G21A6P03N4121676,0,0,0,0,0,0,0,0,74.04,0,0,0,0,74.04
CRUISE LLC,AVDT005,5G21A6P02P4105360,0,0,0,0,0,0,0,0,0,0,0,0,59.41,59.41
CRUISE LLC,AVDT005,5G21A6P02P4103057,0,0,0,0,0,0,0,0,0,0,0,0,14.78,14.78
CRUISE LLC,AVDT005,5G21A6P06P4104681,0,0,0,0,0,0,0,0,0,0,0,0,46.23,46.23
CRUISE LLC,AVDT005,5G21A6P07P4100056,0,0,0,0,0,0,0,0,0,0,0,0,10.22,10.22
CRUISE LLC,AVDT005,5G21A6P06N4121669,0,0,0,0,0,0,0,0,0,32.62,0,0,0,32.62
CRUISE LLC,AVDT005,5G21A6P01P4102126,0,0,0,0,0,0,0,0,0,0,0,0,15.54,15.54
CRUISE LLC,AVDT005,5G21A6P03P4102127,0,0,0,0,0,0,0,0,0,0,0,0,8,8
CRUISE LLC,AVDT005,5G21A6P09N4121648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVDT005,5G21A6P04P4101679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVDT005,5G21A6P01P4100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVDT005,5G21A6P08P4104682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVDT005,5G21A6P06P4100081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVDT005,5G21A6P01P4100098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVDT005,5G21A6P0XP4106109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUISE LLC,AVDT005,5G21A6P0XL4100188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NURO, INC",AVDT002,1N90NUR08KR385012,0,0,0,0,0,0,0,27,17.58,87.94,149.59,39.45,8.49,330.05
"NURO, INC",AVDT002,1N90NUR03KR385015,0,0,0,0,0,0,0,0,0,0,0,0,9.05,9.05
"NURO, INC",AVDT002,1N90NUR07KR385017,0,0,0,0,0,0,0,0,3.59,0,0,0,6.74,10.33
"NURO, INC",AVDT002,1N90NUR09KR385018,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"NURO, INC",AVDT002,1N90NUR09KR385021,0,0,0,0,0,0,0,0,0,0,0,0,17.57,17.57
"NURO, INC",AVDT002,1N90NUR00KR385022,0,0,0,0,0,0,15.01,0,10.8,13.58,131.42,12.44,0,183.25
"NURO, INC",AVDT002,1N90NUR06KR385025,0,8.47,0,0,0,0,0,0,0,0,0,0,0,8.47
"NURO, INC",AVDT002,1N90NUR08KR385026,0,0,0,0,0,0,93.19,23.29,4.83,47.07,112.27,13.9,7.73,302.28
"NURO, INC",AVDT002,1N90NUR0XKR385030,0,0,0,0,56.96,4.34,0,0,0,0,0.89,0,0,62.19
WAYMO LLC,AVDT001,SADHW2S15M1615215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1615478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1615447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1615383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1615271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1615176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1614948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1615568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1615761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616171,0,0,0,0,0,0,0,0,0,0,0,0,537.8,537.8
WAYMO LLC,AVDT001,SADHW2S11M1615776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1615599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1615643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1615674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616054,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1615635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1616083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1616069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1616325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1615716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1616051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1615629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1615889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1616021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1615243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1615937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1615208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1615684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1615914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1615947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1615977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1616740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1615258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1616656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1616178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1616692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1616587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1615790,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1616644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1616972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1616650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1616542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1616527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1616799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1616501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1616448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1616492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1616613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616761,0,0,0,0,0,0,0,0,0,0,80.8,1335,0,1415.8
WAYMO LLC,AVDT001,SADHW2S11M1616880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616385,0,0,0,0,13.6,199.5,428.4,878.4,984.6,529,1216,1445.5,936.6,6631.5
WAYMO LLC,AVDT001,SADHW2S18M1616441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1616577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616333,0,0,0,0,0,0,0,0,0,18.1,0,0,0,18.1
WAYMO LLC,AVDT001,SADHW2S12M1616712,0,0,0,0,19.8,207.8,232.1,1026.3,1279.5,722.3,944.1,284.7,838.4,5554.9
WAYMO LLC,AVDT001,SADHW2S13M1616427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616411,0,0,0,0,0,61.2,501,1094.1,1070.4,734.8,608.6,98,531.4,4699.6
WAYMO LLC,AVDT001,SADHW2S19M1616609,0,0,0,0,33.5,149.8,414.9,761.1,837,909.1,0,0,0,3105.4
WAYMO LLC,AVDT001,SADHW2S1XM1616893,0,0,0,0,0,0,0,0,0,437.2,221.8,423.3,1201.6,2283.9
WAYMO LLC,AVDT001,SADHW2S17M1616950,0,0,0,0,47.6,132.2,170.6,679.2,103.8,0,0,0,0,1133.4
WAYMO LLC,AVDT001,SADHW2S19M1616481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S11M1616619,0,0,0,0,0,0,176.6,747.7,1101.9,977.5,875.7,521.1,1217,5617.5
WAYMO LLC,AVDT001,SADHW2S16M1616549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1616471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S12M1616421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S10M1616837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1616939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1616455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S16M1616860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1615277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1616818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S17M1616592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S15M1616767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1615190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S14M1616517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1616844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S13M1616928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S1XM1616960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S18M1617007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAYMO LLC,AVDT001,SADHW2S19M1616870,0,0,0,0,0,0,0,0,0,369.4,1789.5,567.2,298.8,3024.9
WAYMO LLC,AVDT001,SADHW2S19M1617064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
